SECCION,DIVISION,GRUPO,CLASE,SECCION_DESC,DIVISION_DESC,GRUPO_DESC,CLASE_DESC,GRUPO,CODIGO_GEO,PROVINCIA,MUNICIPIO,PROVINCIA_DESC,MUNICIPIO_DESC,EMPRESAS
A,A01,A01011,A010110111,"Agricultura, ganadería, caza y silvicultura","Agricultura, ganadería, caza y actividades de servicios conexas","Cultivos en general; cultivo de productos de mercado; horticultura","Cultivo de cereales y otros cultivos n.c.p.","010 a 049",20092801000000000,28,2801,"MONSEÑOR NOUEL",BONAO,1
A,A01,A01011,A010110111,"Agricultura, ganadería, caza y silvicultura","Agricultura, ganadería, caza y actividades de servicios conexas","Cultivos en general; cultivo de productos de mercado; horticultura","Cultivo de cereales y otros cultivos n.c.p.","001 a 009",20092801000000000,28,2801,"MONSEÑOR NOUEL",BONAO,1
C,C10,C10101,C101011010,"Explotación de minas y canteras","Extracción de carbón y lignito; extracción de turba","Extracción y aglomeración de carbón de piedra","Extracción y aglomeración de carbón de piedra","010 a 049",20092801000000000,28,2801,"MONSEÑOR NOUEL",BONAO,1
D,D15,D15151,D151511513,"Industrias Manufactureras","Elaboración de productos alimenticios y bebidas","Producción, procesamiento y conservación de carne, pescado, frutas, legumbres, hortalizas, aceites y grasas","Elaboración y conservación de frutas, legumbres y hortalizas","010 a 049",20092801000000000,28,2801,"MONSEÑOR NOUEL",BONAO,1
D,D15,D15152,D151521520,"Industrias Manufactureras","Elaboración de productos alimenticios y bebidas","Elaboración de productos lácteos","Elaboración de productos lácteos","050 a 099",20092801000000000,28,2801,"MONSEÑOR NOUEL",BONAO,1
D,D15,D15152,D151521520,"Industrias Manufactureras","Elaboración de productos alimenticios y bebidas","Elaboración de productos lácteos","Elaboración de productos lácteos","001 a 009",20092801000000000,28,2801,"MONSEÑOR NOUEL",BONAO,1
D,D15,D15154,D151541541,"Industrias Manufactureras","Elaboración de productos alimenticios y bebidas","Otras industrias alimenticias","Elaboración de productos de panadería","001 a 009",20092801000000000,28,2801,"MONSEÑOR NOUEL",BONAO,1
D,D15,D15154,D151541549,"Industrias Manufactureras","Elaboración de productos alimenticios y bebidas","Otras industrias alimenticias","Elaboración de otros productos alimenticios n.c.p.","001 a 009",20092801000000000,28,2801,"MONSEÑOR NOUEL",BONAO,1
D,D15,D15154,D151541549,"Industrias Manufactureras","Elaboración de productos alimenticios y bebidas","Otras industrias alimenticias","Elaboración de otros productos alimenticios n.c.p.","010 a 049",20092801000000000,28,2801,"MONSEÑOR NOUEL",BONAO,1
D,D15,D15155,D151551554,"Industrias Manufactureras","Elaboración de productos alimenticios y bebidas","Elaboración de bebidas","Elaboración de bebidas no alcohólicas; producción de aguas minerales","050 a 099",20092801000000000,28,2801,"MONSEÑOR NOUEL",BONAO,1
