SECCION,DIVISION,GRUPO,CLASE,SECCION_DESC,DIVISION_DESC,GRUPO_DESC,CLASE_DESC,GRUPO,CODIGO_GEO,PROVINCIA,MUNICIPIO,PROVINCIA_DESC,MUNICIPIO_DESC,EMPRESAS
A,A01,A01014,A010140140,"Agricultura, ganadería, caza y silvicultura","Agricultura, ganadería, caza y actividades de servicios conexas","Actividades de servicios agrícolas y ganaderos, excepto las actividades veterinarias","Actividades de servicios agrícolas y ganaderos, excepto las actividades veterinarias","250 o más",20091601000000000,16,1601,PEDERNALES,PEDERNALES,1
D,D26,D26269,D262692695,"Industrias Manufactureras","Fabricación de otros productos minerales no metálicos","Fabricación de productos minerales no metálicos n.c.p.","Fabricación de artículos de hormigón, cemento y yeso","001 a 009",20091601000000000,16,1601,PEDERNALES,PEDERNALES,1
G,G52,G52523,G525235231,"Comercio al por mayor y al por menor; reparación de vehículos automotores, motocicletas, efectos personales y enseres domésticos","Comercio al por menor, excepto el comercio de vehículos automotores y motocicletas; reparación de efectos personales y enseres domésticos","Comercio al por menor de otros productos nuevos en almacenes especializados","Venta al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador","001 a 009",20091601000000000,16,1601,PEDERNALES,PEDERNALES,1
G,G52,G52523,G525235233,"Comercio al por mayor y al por menor; reparación de vehículos automotores, motocicletas, efectos personales y enseres domésticos","Comercio al por menor, excepto el comercio de vehículos automotores y motocicletas; reparación de efectos personales y enseres domésticos","Comercio al por menor de otros productos nuevos en almacenes especializados","Venta al por menor de aparatos, artículos y equipo de uso doméstico","001 a 009",20091601000000000,16,1601,PEDERNALES,PEDERNALES,1
J,J65,J65659,J656596592,"Intermediación financiera","Intermediación financiera, excepto la financiación de planes de seguros y de pensiones","Otros tipos de intermediación financiera","Otros tipos de crédito","001 a 009",20091601000000000,16,1601,PEDERNALES,PEDERNALES,1
K,K74,K74742,K747427421,"Actividades inmobiliarias, empresariales y de alquiler","Otras actividades empresariales","Actividades de arquitectura e ingeniería y otras actividades técnicas","Actividades de arquitectura e ingeniería y actividades conexas de asesoramiento técnico","001 a 009",20091601000000000,16,1601,PEDERNALES,PEDERNALES,1
