SECCION,DIVISION,GRUPO,CLASE,SECCION_DESC,DIVISION_DESC,GRUPO_DESC,CLASE_DESC,GRUPO,CODIGO_GEO,PROVINCIA,MUNICIPIO,PROVINCIA_DESC,MUNICIPIO_DESC,EMPRESAS
G,G51,G51512,G515125121,"Comercio al por mayor y al por menor; reparación de vehículos automotores, motocicletas, efectos personales y enseres domésticos","Comercio al por mayor y en comisión, excepto el comercio de vehículos automotores y motocicletas","Venta al por mayor de materias primas agropecuarias, animales vivos, alimentos, bebidas y tabaco","Venta al por mayor de materias primas agropecuarias y de animales vivos","010 a 049",20091505000000000,15,1505,"MONTE CRISTI","PEPILLO SALCEDO",1
I,I61,I61611,I616116110,"Transporte, almacenamiento y comunicaciones","Transporte por vía acuática","Transporte marítimo y de cabotaje","Transporte marítimo y de cabotaje","001 a 009",20091505000000000,15,1505,"MONTE CRISTI","PEPILLO SALCEDO",1
I,I64,I64642,I646426420,"Transporte, almacenamiento y comunicaciones","Correo y telecomunicaciones",Telecomunicaciones,Telecomunicaciones,"010 a 049",20091505000000000,15,1505,"MONTE CRISTI","PEPILLO SALCEDO",1
I,I64,I64642,I646426420,"Transporte, almacenamiento y comunicaciones","Correo y telecomunicaciones",Telecomunicaciones,Telecomunicaciones,"010 a 049",20091505000000000,15,1505,"MONTE CRISTI","PEPILLO SALCEDO",1
