SECCION,DIVISION,GRUPO,CLASE,SECCION_DESC,DIVISION_DESC,GRUPO_DESC,CLASE_DESC,GRUPO,CODIGO_GEO,PROVINCIA,MUNICIPIO,PROVINCIA_DESC,MUNICIPIO_DESC,EMPRESAS
D,D20,D20202,D202022022,"Industrias Manufactureras","Producción de madera y fabricación de productos de madera y corcho, excepto muebles; fabricación de artículos de paja y de materiales trenzables","Fabricación de productos de madera, corcho, paja y materiales trenzables","Fabricación de partes y piezas de carpintería para edificios y construcciones","001 a 009",20091404000000000,14,1404,"MARIA TRINIDAD SANCHEZ","RIO SAN JUAN",1
F,F45,F45452,F454524520,Construcción,Construcción,"Construcción de edificios completos y de partes de edificios; obras de ingeniería civil","Construcción de edificios completos y de partes de edificios; obras de ingeniería civil","001 a 009",20091404000000000,14,1404,"MARIA TRINIDAD SANCHEZ","RIO SAN JUAN",1
G,G52,G52523,G525235231,"Comercio al por mayor y al por menor; reparación de vehículos automotores, motocicletas, efectos personales y enseres domésticos","Comercio al por menor, excepto el comercio de vehículos automotores y motocicletas; reparación de efectos personales y enseres domésticos","Comercio al por menor de otros productos nuevos en almacenes especializados","Venta al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador","001 a 009",20091404000000000,14,1404,"MARIA TRINIDAD SANCHEZ","RIO SAN JUAN",2
H,H55,H55551,H555515510,"Hoteles bares y restaurantes","Hoteles y restaurantes","Hoteles; campamentos y otros tipos de hospedaje temporal","Hoteles; campamentos y otros tipos de hospedaje temporal","001 a 009",20091404000000000,14,1404,"MARIA TRINIDAD SANCHEZ","RIO SAN JUAN",1
O,O91,O91911,O919119111,"Otras actividades de servicios comunitarios, sociales y personales","Actividades de asociaciones n.c.p.","Actividades de organizaciones empresariales, profesionales y de empleadores","Actividades de organizaciones empresariales y de empleadores","001 a 009",20091404000000000,14,1404,"MARIA TRINIDAD SANCHEZ","RIO SAN JUAN",1
