SECCION,DIVISION,GRUPO,CLASE,SECCION_DESC,DIVISION_DESC,GRUPO_DESC,CLASE_DESC,GRUPO,CODIGO_GEO,PROVINCIA,MUNICIPIO,PROVINCIA_DESC,MUNICIPIO_DESC,EMPRESAS
A,A01,A01011,A010110113,"Agricultura, ganadería, caza y silvicultura","Agricultura, ganadería, caza y actividades de servicios conexas","Cultivos en general; cultivo de productos de mercado; horticultura","Cultivo de frutas, nueces, plantas cuyas hojas o frutas se utilizan para preparar bebidas, y especias","010 a 049",20092504000000000,25,2504,SANTIAGO,"LICEY AL MEDIO",1
A,A01,A01011,A010110113,"Agricultura, ganadería, caza y silvicultura","Agricultura, ganadería, caza y actividades de servicios conexas","Cultivos en general; cultivo de productos de mercado; horticultura","Cultivo de frutas, nueces, plantas cuyas hojas o frutas se utilizan para preparar bebidas, y especias","001 a 009",20092504000000000,25,2504,SANTIAGO,"LICEY AL MEDIO",1
A,A01,A01012,A010120122,"Agricultura, ganadería, caza y silvicultura","Agricultura, ganadería, caza y actividades de servicios conexas","Cría de animales","Cría de otros animales; elaboración de productos animales n.c.p.","010 a 049",20092504000000000,25,2504,SANTIAGO,"LICEY AL MEDIO",1
A,A01,A01012,A010120122,"Agricultura, ganadería, caza y silvicultura","Agricultura, ganadería, caza y actividades de servicios conexas","Cría de animales","Cría de otros animales; elaboración de productos animales n.c.p.","001 a 009",20092504000000000,25,2504,SANTIAGO,"LICEY AL MEDIO",1
A,A01,A01014,A010140140,"Agricultura, ganadería, caza y silvicultura","Agricultura, ganadería, caza y actividades de servicios conexas","Actividades de servicios agrícolas y ganaderos, excepto las actividades veterinarias","Actividades de servicios agrícolas y ganaderos, excepto las actividades veterinarias","001 a 009",20092504000000000,25,2504,SANTIAGO,"LICEY AL MEDIO",1
D,D15,D15153,D151531531,"Industrias Manufactureras","Elaboración de productos alimenticios y bebidas","Elaboración de productos de molinería, almidones y productos derivados del almidón, y de alimentos preparados para animales","Elaboración de productos de molinería","250 o más",20092504000000000,25,2504,SANTIAGO,"LICEY AL MEDIO",1
D,D16,D16160,D161601600,"Industrias Manufactureras","Industria del tabaco","Industria del tabaco","Elaboración de productos de tabaco","050 a 099",20092504000000000,25,2504,SANTIAGO,"LICEY AL MEDIO",1
D,D16,D16160,D161601600,"Industrias Manufactureras","Industria del tabaco","Industria del tabaco","Elaboración de productos de tabaco","010 a 049",20092504000000000,25,2504,SANTIAGO,"LICEY AL MEDIO",1
D,D16,D16160,D161601600,"Industrias Manufactureras","Industria del tabaco","Industria del tabaco","Elaboración de productos de tabaco","001 a 009",20092504000000000,25,2504,SANTIAGO,"LICEY AL MEDIO",1
D,D17,D17171,D171711711,"Industrias Manufactureras","Fabricación de productos textiles","Hilatura, tejedura y acabado de productos textiles","Preparación e hilatura de fibras textiles; tejedura de productos textiles","001 a 009",20092504000000000,25,2504,SANTIAGO,"LICEY AL MEDIO",1
D,D20,D20201,D202012010,"Industrias Manufactureras","Producción de madera y fabricación de productos de madera y corcho, excepto muebles; fabricación de artículos de paja y de materiales trenzables","Aserrado y acepilladura de madera","Aserrado y acepilladura de madera","010 a 049",20092504000000000,25,2504,SANTIAGO,"LICEY AL MEDIO",1
D,D20,D20202,D202022022,"Industrias Manufactureras","Producción de madera y fabricación de productos de madera y corcho, excepto muebles; fabricación de artículos de paja y de materiales trenzables","Fabricación de productos de madera, corcho, paja y materiales trenzables","Fabricación de partes y piezas de carpintería para edificios y construcciones","010 a 049",20092504000000000,25,2504,SANTIAGO,"LICEY AL MEDIO",1
D,D20,D20202,D202022022,"Industrias Manufactureras","Producción de madera y fabricación de productos de madera y corcho, excepto muebles; fabricación de artículos de paja y de materiales trenzables","Fabricación de productos de madera, corcho, paja y materiales trenzables","Fabricación de partes y piezas de carpintería para edificios y construcciones","050 a 099",20092504000000000,25,2504,SANTIAGO,"LICEY AL MEDIO",1
D,D25,D25252,D252522520,"Industrias Manufactureras","Fabricación de productos de caucho y plástico","Fabricación de productos de plástico","Fabricación de productos de plástico","010 a 049",20092504000000000,25,2504,SANTIAGO,"LICEY AL MEDIO",1
D,D26,D26269,D262692699,"Industrias Manufactureras","Fabricación de otros productos minerales no metálicos","Fabricación de productos minerales no metálicos n.c.p.","Fabricación de otros productos minerales no metálicos n.c.p.","001 a 009",20092504000000000,25,2504,SANTIAGO,"LICEY AL MEDIO",1
D,D27,D27271,D272712710,"Industrias Manufactureras","Fabricación de metales comunes","Industrias básicas de hierro y acero","Industrias básicas de hierro y acero","001 a 009",20092504000000000,25,2504,SANTIAGO,"LICEY AL MEDIO",1
D,D28,D28289,D282892893,"Industrias Manufactureras","Fabricación de productos elaborados de metal, excepto maquinaria y equipo","Fabricación de otros productos elaborados de metal; actividades de servicios de trabajo de metales","Fabricación de artículos de cuchillería, herramientas de mano y artículos de ferretería","010 a 049",20092504000000000,25,2504,SANTIAGO,"LICEY AL MEDIO",1
D,D36,D36361,D363613610,"Industrias Manufactureras","Fabricación de muebles; industrias manufactureras n.c.p.","Fabricación de muebles","Fabricación de muebles","010 a 049",20092504000000000,25,2504,SANTIAGO,"LICEY AL MEDIO",1
G,G50,G50502,G505025020,"Comercio al por mayor y al por menor; reparación de vehículos automotores, motocicletas, efectos personales y enseres domésticos","Venta, mantenimiento y reparación de vehículos automotores y motocicletas; venta al por menor de combustible para automotores","Mantenimiento y reparación de vehículos automotores","Mantenimiento y reparación de vehículos automotores","010 a 049",20092504000000000,25,2504,SANTIAGO,"LICEY AL MEDIO",1
G,G50,G50503,G505035030,"Comercio al por mayor y al por menor; reparación de vehículos automotores, motocicletas, efectos personales y enseres domésticos","Venta, mantenimiento y reparación de vehículos automotores y motocicletas; venta al por menor de combustible para automotores","Venta de partes, piezas y accesorios de vehículos automotores","Venta de partes, piezas y accesorios de vehículos automotores","010 a 049",20092504000000000,25,2504,SANTIAGO,"LICEY AL MEDIO",1
G,G50,G50505,G505055050,"Comercio al por mayor y al por menor; reparación de vehículos automotores, motocicletas, efectos personales y enseres domésticos","Venta, mantenimiento y reparación de vehículos automotores y motocicletas; venta al por menor de combustible para automotores","Venta al por menor de combustible para automotores","Venta al por menor de combustible para automotores","010 a 049",20092504000000000,25,2504,SANTIAGO,"LICEY AL MEDIO",1
G,G51,G51514,G515145143,"Comercio al por mayor y al por menor; reparación de vehículos automotores, motocicletas, efectos personales y enseres domésticos","Comercio al por mayor y en comisión, excepto el comercio de vehículos automotores y motocicletas","Venta al por mayor de productos intermedios, desperdicios y desechos no agropecuarios","Venta al por mayor de materiales de construcción, artículos de ferretería y equipo y materiales de fontanería y calefacción","010 a 049",20092504000000000,25,2504,SANTIAGO,"LICEY AL MEDIO",1
G,G51,G51519,G515195190,"Comercio al por mayor y al por menor; reparación de vehículos automotores, motocicletas, efectos personales y enseres domésticos","Comercio al por mayor y en comisión, excepto el comercio de vehículos automotores y motocicletas","Venta al por mayor de otros productos","Venta al por mayor de otros productos","001 a 009",20092504000000000,25,2504,SANTIAGO,"LICEY AL MEDIO",1
G,G51,G51519,G515195190,"Comercio al por mayor y al por menor; reparación de vehículos automotores, motocicletas, efectos personales y enseres domésticos","Comercio al por mayor y en comisión, excepto el comercio de vehículos automotores y motocicletas","Venta al por mayor de otros productos","Venta al por mayor de otros productos","001 a 009",20092504000000000,25,2504,SANTIAGO,"LICEY AL MEDIO",1
G,G51,G51519,G515195190,"Comercio al por mayor y al por menor; reparación de vehículos automotores, motocicletas, efectos personales y enseres domésticos","Comercio al por mayor y en comisión, excepto el comercio de vehículos automotores y motocicletas","Venta al por mayor de otros productos","Venta al por mayor de otros productos","010 a 049",20092504000000000,25,2504,SANTIAGO,"LICEY AL MEDIO",1
G,G52,G52523,G525235231,"Comercio al por mayor y al por menor; reparación de vehículos automotores, motocicletas, efectos personales y enseres domésticos","Comercio al por menor, excepto el comercio de vehículos automotores y motocicletas; reparación de efectos personales y enseres domésticos","Comercio al por menor de otros productos nuevos en almacenes especializados","Venta al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador","001 a 009",20092504000000000,25,2504,SANTIAGO,"LICEY AL MEDIO",1
G,G52,G52523,G525235231,"Comercio al por mayor y al por menor; reparación de vehículos automotores, motocicletas, efectos personales y enseres domésticos","Comercio al por menor, excepto el comercio de vehículos automotores y motocicletas; reparación de efectos personales y enseres domésticos","Comercio al por menor de otros productos nuevos en almacenes especializados","Venta al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador","001 a 009",20092504000000000,25,2504,SANTIAGO,"LICEY AL MEDIO",1
G,G52,G52523,G525235231,"Comercio al por mayor y al por menor; reparación de vehículos automotores, motocicletas, efectos personales y enseres domésticos","Comercio al por menor, excepto el comercio de vehículos automotores y motocicletas; reparación de efectos personales y enseres domésticos","Comercio al por menor de otros productos nuevos en almacenes especializados","Venta al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador","001 a 009",20092504000000000,25,2504,SANTIAGO,"LICEY AL MEDIO",1
G,G52,G52523,G525235231,"Comercio al por mayor y al por menor; reparación de vehículos automotores, motocicletas, efectos personales y enseres domésticos","Comercio al por menor, excepto el comercio de vehículos automotores y motocicletas; reparación de efectos personales y enseres domésticos","Comercio al por menor de otros productos nuevos en almacenes especializados","Venta al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador","001 a 009",20092504000000000,25,2504,SANTIAGO,"LICEY AL MEDIO",1
G,G52,G52523,G525235231,"Comercio al por mayor y al por menor; reparación de vehículos automotores, motocicletas, efectos personales y enseres domésticos","Comercio al por menor, excepto el comercio de vehículos automotores y motocicletas; reparación de efectos personales y enseres domésticos","Comercio al por menor de otros productos nuevos en almacenes especializados","Venta al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador","001 a 009",20092504000000000,25,2504,SANTIAGO,"LICEY AL MEDIO",1
