REGION,PROV,MUN,CODIGO,PROVNAME,MUNNAME,STDNAME,IPUMS,GEOID_1,GEOID_2
1,9,2,902,ESPAILLAT,Cayetano Germosén,CAYETANO GERMOSEN,Moca and Cayetano Germosén,8,42
1,9,3,903,ESPAILLAT,Gaspar Hernández,GASPAR HERNANDEZ,Gaspar Hernández and Jamao al Norte,8,43
1,9,4,904,ESPAILLAT,Jamao al Norte,JAMAO AL NORTE,Gaspar Hernández and Jamao al Norte,8,44
6,10,1,1001,INDEPENDENCIA,Jimaní,JIMANI,Municipalities in Independencia province,10,51
6,10,2,1002,INDEPENDENCIA,Duvergé,DUVERGE,Municipalities in Independencia province,10,50
6,10,3,1003,INDEPENDENCIA,La Descubierta,LA DESCUBIERTA,Municipalities in Independencia province,10,52
6,10,4,1004,INDEPENDENCIA,Postrer Río,POSTRER RIO,Municipalities in Independencia province,10,54
6,10,5,1005,INDEPENDENCIA,Cristóbal,CRISTOBAL,Municipalities in Independencia province,10,49
6,10,6,1006,INDEPENDENCIA,Mella,MELLA,Municipalities in Independencia province,10,53
8,11,1,1101,LA ALTAGRACIA,Higüey,HIGUEY,Higüey,11,57
8,11,2,1102,LA ALTAGRACIA,San Rafael del Yuma,SAN RAFAEL DEL YUMA,San Rafael del Yuma,11,58
8,12,1,1201,LA ROMANA,La Romana,LA ROMANA,La Romana and Guaymate,13,67
8,12,2,1202,LA ROMANA,Guaymate,GUAYMATE,La Romana and Guaymate,13,65
8,12,3,1203,LA ROMANA,Villa Hermosa,VILLA HERMOSA,Villa Hermosa,13,68
2,13,1,1301,LA VEGA,La Vega,LA VEGA,La Vega,14,69
2,13,2,1302,LA VEGA,Constanza,CONSTANZA,Constanza,14,70
2,13,3,1303,LA VEGA,Jarabacoa,JARABACOA,Jarabacoa,14,71
2,13,4,1304,LA VEGA,Jima Abajo,JIMA ABAJO,Jima Abajo,14,72
3,14,1,1401,MARÍA TRINIDAD SÁNCHEZ,Nagua,NAGUA,Nagua,15,75
3,14,2,1402,MARÍA TRINIDAD SÁNCHEZ,Cabrera,CABRERA,Cabrera and Río San Juan,15,73
3,14,3,1403,MARÍA TRINIDAD SÁNCHEZ,El Factor,EL FACTOR,El Factor,15,74
3,14,4,1404,MARÍA TRINIDAD SÁNCHEZ,Río San Juan,RIO SAN JUAN,Cabrera and Río San Juan,15,76
4,15,1,1501,MONTE CRISTI,Monte Cristi,MONTE CRISTI,Monte Cristi and Pepillo Salcedo,17,84
4,15,2,1502,MONTE CRISTI,Castañuelas,CASTANUELAS,Castañuelas and Villa Vásquez,17,80
4,15,3,1503,MONTE CRISTI,Guayubín,GUAYUBIN,Guayubín and Las Matas de Santa Cruz,17,81
4,15,4,1504,MONTE CRISTI,Las Matas de Santa Cruz,LAS MATAS DE SANTA CRUZ,Guayubín and Las Matas de Santa Cruz,17,82
4,15,5,1505,MONTE CRISTI,Pepillo Salcedo (Manzanillo),PEPILLO SALCEDO (MANZANILLO),Monte Cristi and Pepillo Salcedo,17,83
4,15,6,1506,MONTE CRISTI,Villa Vásquez,VILLA VASQUEZ,Castañuelas and Villa Vásquez,17,85
6,16,1,1601,PEDERNALES,Pedernales,PEDERNALES,Municipalities in Pedernales Province,19,93
6,16,2,1602,PEDERNALES,Oviedo,OVIEDO,Municipalities in Pedernales Province,19,93
5,17,1,1701,PERAVIA,Baní,BANI,Baní,20,94
5,17,2,1702,PERAVIA,Nizao,NIZAO,Nizao,20,95
1,18,1,1801,PUERTO PLATA,Puerto Plata,PUERTO PLATA,Puerto Plata,21,103
1,18,2,1802,PUERTO PLATA,Altamira,ALTAMIRA,Altamira and Guananico,21,96
1,18,3,1803,PUERTO PLATA,Guananico,GUANANICO,Altamira and Guananico,21,97
1,18,4,1804,PUERTO PLATA,Imbert,IMBERT,Imbert,21,98
1,18,5,1805,PUERTO PLATA,Los Hidalgos,LOS HIDALGOS,"Villa Isabela, Los Hidalgos, and Luperón",21,100
1,18,6,1806,PUERTO PLATA,Luperón,LUPERON,"Villa Isabela, Los Hidalgos, and Luperón",21,101
1,18,7,1807,PUERTO PLATA,Sosúa,SOSUA,Sosúa and Villa Montellano,21,104
1,18,8,1808,PUERTO PLATA,Villa Isabela,VILLA ISABELA,"Villa Isabela, Los Hidalgos, and Luperón",21,99
1,18,9,1809,PUERTO PLATA,Villa Montellano,VILLA MONTELLANO,Sosúa and Villa Montellano,21,102
3,19,1,1901,HERMANAS MIRABAL,Salcedo,SALCEDO,Salcedo,22,105
3,19,2,1902,HERMANAS MIRABAL,Tenares,TENARES,Tenares,22,106
3,19,3,1903,HERMANAS MIRABAL,Villa Tapia,VILLA TAPIA,Villa Tapia,22,107
3,20,1,2001,SAMANÁ,Samaná,SAMANA,Samaná,23,110
3,20,2,2002,SAMANÁ,Sánchez,SANCHEZ,Sánchez and  Las Terrenas,23,109
3,20,3,2003,SAMANÁ,Las Terrenas,LAS TERRENAS,Sánchez and  Las Terrenas,23,108
5,21,1,2101,SAN CRISTÓBAL,San Cristóbal,SAN CRISTOBAL,San Cristóbal,24,116
5,21,2,2102,SAN CRISTÓBAL,Sabana Grande de Palenque,SABANA GRANDE DE PALENQUE,Sabana Grande de Palenque and Los Cacaos,24,115
5,21,3,2103,SAN CRISTÓBAL,Bajos de Haina,BAJOS DE HAINA,Bajos de Haina,24,111
5,21,4,2104,SAN CRISTÓBAL,Cambita Garabitos,CAMBITA GARABITOS,Cambita Garabitos,24,112
5,21,5,2105,SAN CRISTÓBAL,Villa  Altagracia,VILLA  ALTAGRACIA,Villa Altagracia,24,118
5,21,6,2106,SAN CRISTÓBAL,Yaguate,YAGUATE,Yaguate,24,117
5,21,7,2107,SAN CRISTÓBAL,San Gregorio de Nigua,SAN GREGORIO DE NIGUA,San Gregorio de Nigua,24,114
