502,1,1,21,6,3,12,2,4,10,44,1,0,4,12,18,15,6,2,8,1,20,43,6,4,31,43,4,47,129,9,0,39,9,1,5,21,28,0,31,156,54,26,0,0,20,25
503,1,1,21,6,3,12,2,4,10,44,1,0,4,12,18,15,6,2,8,1,20,43,6,4,31,43,4,47,129,9,0,39,9,1,5,21,28,0,31,156,54,26,0,0,20,25
504,1,1,21,6,3,12,2,4,10,44,1,0,4,12,18,15,6,2,8,1,20,43,6,4,31,43,4,47,129,9,0,39,9,1,5,21,28,0,31,156,54,26,0,0,20,25
505,1,1,21,6,3,12,2,4,10,44,1,0,4,12,18,15,6,2,8,1,20,43,6,4,31,43,4,47,129,9,0,39,9,1,5,21,28,0,31,156,54,26,0,0,20,25
601,2,1,15,11,8,53,39,34,95,226,43,5,36,58,128,124,51,20,27,0,211,269,34,16,251,762,31,217,558,1,1,344,161,21,55,200,94,0,230,995,137,165,6,11,111,93
602,0,0,5,3,1,6,2,2,5,41,3,0,3,10,18,5,1,1,1,0,31,49,2,3,31,86,5,39,168,2,0,35,12,1,0,17,13,0,52,173,177,24,1,0,13,19
603,0,0,1,1,0,3,2,3,2,36,0,0,1,3,9,6,4,0,8,0,10,16,0,1,11,37,4,15,84,0,0,12,5,0,2,9,4,0,14,80,69,7,0,0,9,8
604,0,0,0,1,0,6,5,7,8,24,5,0,5,17,16,4,7,2,3,0,24,43,7,1,32,71,9,27,138,0,2,30,9,0,14,13,15,0,37,132,91,31,2,0,15,11
605,0,0,5,3,1,6,2,2,5,41,3,0,3,10,18,5,1,1,1,0,31,49,2,3,31,86,5,39,168,2,0,35,12,1,0,17,13,0,52,173,177,24,1,0,13,19
606,0,0,0,1,0,6,5,7,8,24,5,0,5,17,16,4,7,2,3,0,24,43,7,1,32,71,9,27,138,0,2,30,9,0,14,13,15,0,37,132,91,31,2,0,15,11
607,0,0,1,1,0,3,2,3,2,36,0,0,1,3,9,6,4,0,8,0,10,16,0,1,11,37,4,15,84,0,0,12,5,0,2,9,4,0,14,80,69,7,0,0,9,8
701,1,0,43,11,0,5,1,7,5,46,1,0,1,3,14,12,2,2,10,0,14,11,3,1,10,24,1,32,38,4,0,13,0,0,4,4,6,0,10,95,30,10,0,0,19,15
702,1,0,43,11,0,5,1,7,5,46,1,0,1,3,14,12,2,2,10,0,14,11,3,1,10,24,1,32,38,4,0,13,0,0,4,4,6,0,10,95,30,10,0,0,19,15
703,0,0,4,4,1,3,0,0,1,19,0,0,1,0,11,3,2,1,5,0,7,5,3,1,9,8,2,14,39,0,0,10,7,0,2,2,2,0,8,51,12,7,0,0,11,11
704,0,0,4,4,1,3,0,0,1,19,0,0,1,0,11,3,2,1,5,0,7,5,3,1,9,8,2,14,39,0,0,10,7,0,2,2,2,0,8,51,12,7,0,0,11,11
705,1,0,43,11,0,5,1,7,5,46,1,0,1,3,14,12,2,2,10,0,14,11,3,1,10,24,1,32,38,4,0,13,0,0,4,4,6,0,10,95,30,10,0,0,19,15
706,0,0,4,4,1,3,0,0,1,19,0,0,1,0,11,3,2,1,5,0,7,5,3,1,9,8,2,14,39,0,0,10,7,0,2,2,2,0,8,51,12,7,0,0,11,11
801,1,0,7,5,2,11,10,4,8,54,4,2,11,16,19,15,7,4,14,0,29,65,9,4,118,134,19,46,273,3,0,59,21,5,10,50,66,0,62,251,476,58,2,0,28,21
802,0,0,2,0,0,3,0,0,2,8,0,0,2,2,6,2,3,1,3,0,5,17,2,1,30,37,5,22,76,6,0,35,6,1,1,15,8,0,12,72,49,6,0,1,9,5
901,6,2,13,7,12,41,49,35,58,192,60,3,22,87,84,111,34,19,29,1,163,255,93,18,228,744,36,167,501,2,0,267,246,51,50,520,439,1,232,768,195,206,5,13,111,105
902,6,2,13,7,12,41,49,35,58,192,60,3,22,87,84,111,34,19,29,1,163,255,93,18,228,744,36,167,501,2,0,267,246,51,50,520,439,1,232,768,195,206,5,13,111,105
903,0,1,10,4,0,7,2,0,5,59,1,0,1,5,12,7,10,2,4,0,21,71,2,5,195,144,17,69,127,3,0,81,19,0,9,44,8,1,41,246,145,28,2,4,24,25
904,0,1,10,4,0,7,2,0,5,59,1,0,1,5,12,7,10,2,4,0,21,71,2,5,195,144,17,69,127,3,0,81,19,0,9,44,8,1,41,246,145,28,2,4,24,25
1001,5,0,80,6,2,6,7,5,12,58,2,0,10,16,24,23,9,5,15,2,18,24,3,2,43,32,0,77,57,4,0,18,2,1,7,13,11,0,33,154,60,30,1,1,43,18
1002,5,0,80,6,2,6,7,5,12,58,2,0,10,16,24,23,9,5,15,2,18,24,3,2,43,32,0,77,57,4,0,18,2,1,7,13,11,0,33,154,60,30,1,1,43,18
1003,5,0,80,6,2,6,7,5,12,58,2,0,10,16,24,23,9,5,15,2,18,24,3,2,43,32,0,77,57,4,0,18,2,1,7,13,11,0,33,154,60,30,1,1,43,18
1004,5,0,80,6,2,6,7,5,12,58,2,0,10,16,24,23,9,5,15,2,18,24,3,2,43,32,0,77,57,4,0,18,2,1,7,13,11,0,33,154,60,30,1,1,43,18
1005,5,0,80,6,2,6,7,5,12,58,2,0,10,16,24,23,9,5,15,2,18,24,3,2,43,32,0,77,57,4,0,18,2,1,7,13,11,0,33,154,60,30,1,1,43,18
1006,5,0,80,6,2,6,7,5,12,58,2,0,10,16,24,23,9,5,15,2,18,24,3,2,43,32,0,77,57,4,0,18,2,1,7,13,11,0,33,154,60,30,1,1,43,18
1101,2,2,13,14,25,45,131,42,41,133,68,5,42,105,42,211,173,32,19,2,177,515,81,22,1986,952,69,280,388,6,0,673,187,41,99,210,159,1,452,1057,280,144,30,10,139,216
1102,0,1,3,3,0,5,5,3,2,24,1,0,0,31,5,4,17,2,1,1,6,18,1,0,83,44,3,28,78,4,0,36,9,2,6,10,9,0,27,74,146,32,3,0,10,9
1201,2,0,23,3,10,38,76,57,70,127,79,13,32,143,42,122,98,25,23,2,147,257,64,19,691,586,31,188,118,4,0,281,204,14,69,228,549,1,226,514,227,148,13,4,98,145
1202,2,0,23,3,10,38,76,57,70,127,79,13,32,143,42,122,98,25,23,2,147,257,64,19,691,586,31,188,118,4,0,281,204,14,69,228,549,1,226,514,227,148,13,4,98,145
1203,0,1,9,2,3,4,15,4,9,54,7,1,12,59,13,35,29,6,12,1,43,92,21,7,330,250,17,145,116,2,0,285,102,13,24,186,437,2,146,399,38,76,4,6,62,54
1301,2,2,33,11,12,48,41,61,96,229,50,10,24,107,88,150,41,26,34,2,244,358,61,12,251,859,41,279,574,7,0,333,280,42,65,524,712,2,351,1038,292,262,5,14,135,149
1302,3,3,20,2,1,11,12,7,2,31,7,1,3,14,9,13,6,4,8,0,41,70,9,1,38,122,6,48,167,2,0,61,35,0,5,28,5,0,86,243,710,56,0,0,11,18
1303,1,0,3,2,2,6,16,9,7,47,7,1,7,5,16,21,7,4,12,2,47,76,9,3,111,153,15,74,256,6,0,132,24,4,12,35,15,0,62,278,115,60,3,3,14,46
1304,0,0,4,1,1,3,8,6,3,12,4,0,2,8,18,8,1,0,3,0,20,53,8,0,28,66,3,28,107,0,0,21,18,2,9,10,28,0,46,120,71,61,0,1,14,13
1401,1,0,6,3,1,8,15,10,17,94,9,0,9,22,36,28,14,9,10,0,86,132,11,6,103,240,7,75,148,7,0,95,57,5,11,58,17,0,69,318,185,45,1,5,33,43
1402,0,0,2,1,2,7,10,0,3,49,6,0,1,10,12,13,7,5,5,1,33,62,2,2,92,95,10,45,89,18,0,66,18,0,8,28,6,0,46,214,74,11,2,1,21,25
1403,0,0,0,0,0,2,2,1,5,19,1,1,0,2,8,3,1,0,3,0,13,27,5,0,19,60,2,17,64,0,0,29,12,1,0,5,6,0,35,94,31,11,0,2,8,14
1404,0,0,2,1,2,7,10,0,3,49,6,0,1,10,12,13,7,5,5,1,33,62,2,2,92,95,10,45,89,18,0,66,18,0,8,28,6,0,46,214,74,11,2,1,21,25
1501,0,0,14,2,1,4,6,5,11,28,6,0,8,17,17,22,11,2,3,1,38,51,4,6,29,54,2,51,101,11,0,24,14,1,8,16,27,3,33,94,96,31,0,1,25,22
1502,0,0,4,5,2,0,3,3,4,23,3,0,2,5,13,8,3,4,5,0,14,55,9,3,25,51,1,25,130,1,0,31,16,0,7,14,6,0,41,87,67,24,1,1,9,22
1503,0,1,2,3,0,6,5,7,2,31,2,1,1,18,7,12,4,0,4,0,19,53,7,1,35,82,5,36,198,0,0,33,18,1,6,23,32,0,89,107,218,149,0,4,14,21
1504,0,1,2,3,0,6,5,7,2,31,2,1,1,18,7,12,4,0,4,0,19,53,7,1,35,82,5,36,198,0,0,33,18,1,6,23,32,0,89,107,218,149,0,4,14,21
1505,0,0,14,2,1,4,6,5,11,28,6,0,8,17,17,22,11,2,3,1,38,51,4,6,29,54,2,51,101,11,0,24,14,1,8,16,27,3,33,94,96,31,0,1,25,22
1506,0,0,4,5,2,0,3,3,4,23,3,0,2,5,13,8,3,4,5,0,14,55,9,3,25,51,1,25,130,1,0,31,16,0,7,14,6,0,41,87,67,24,1,1,9,22
