mun,inctot,educdo,edu10
101,2.82633246141,11.6529203642,9.11194389121
201,1.67893475891,8.65413533835,6.05964588053
202,0.764012181639,5.08838383838,5.02538209607
203,0.895592721341,6.9532967033,4.7660472973
204,0.847539512664,6.84857142857,4.98517478152
205,0.764012181639,5.08838383838,5.02538209607
206,0.847539512664,6.84857142857,4.98517478152
207,1.67893475891,8.65413533835,6.05964588053
208,0.895592721341,6.9532967033,4.7660472973
209,0.895592721341,6.9532967033,4.7660472973
210,0.764012181639,5.08838383838,5.02538209607
301,1.14648612982,8.73518041237,5.15154406662
302,1.14648612982,8.73518041237,5.15154406662
303,0.924945482502,6.42137096774,4.87382128424
304,1.14648612982,8.73518041237,5.15154406662
305,1.14648612982,8.73518041237,5.15154406662
401,2.43781122261,9.84213421342,6.69933946686
402,1.76028667804,7.89182692308,5.22764863657
403,1.12207435098,5.74781659389,4.45710251955
404,1.12207435098,5.74781659389,4.45710251955
405,1.8559887777,6.99545454545,5.36565096953
406,2.43781122261,9.84213421342,6.69933946686
407,2.43781122261,9.84213421342,6.69933946686
408,2.43781122261,9.84213421342,6.69933946686
409,1.76028667804,7.89182692308,5.22764863657
410,1.76028667804,7.89182692308,5.22764863657
411,1.8559887777,6.99545454545,5.36565096953
501,1.89525194022,8.87049180328,6.59788702027
502,1.09323787998,8.20218579235,5.53563330094
503,1.09323787998,8.20218579235,5.53563330094
504,1.09323787998,8.20218579235,5.53563330094
505,1.09323787998,8.20218579235,5.53563330094
601,1.01487255537,9.10402230016,6.66033575017
602,0.843255539835,7.10087750987,2.58747641116
603,0.758374643178,7.81926163522,3.89259574468
604,0.768671326031,7.52568134172,6.36650943396
605,0.843255539835,7.10087750987,2.58747641116
606,0.768671326031,7.52568134172,6.36650943396
607,0.758374643178,7.81926163522,3.89259574468
701,1.27223605312,8.24204545455,4.32932845321
702,1.27223605312,8.24204545455,4.32932845321
703,0.940320071009,7.04292929293,3.554007431
704,0.940320071009,7.04292929293,3.554007431
705,1.27223605312,8.24204545455,4.32932845321
706,0.940320071009,7.04292929293,3.554007431
801,0.800060740689,6.15240328253,5.22519083969
802,0.776874563691,6.28719008264,5.28661538462
901,1.18317090359,8.54055472932,6.39636764188
902,1.18317090359,8.54055472932,6.39636764188
903,1.39718470558,7.69663862941,3.93333925465
904,1.39718470558,7.69663862941,3.93333925465
1001,1.39725524592,7.97871046229,5.17148035547
1002,1.39725524592,7.97871046229,5.17148035547
1003,1.39725524592,7.97871046229,5.17148035547
1004,1.39725524592,7.97871046229,5.17148035547
1005,1.39725524592,7.97871046229,5.17148035547
1006,1.39725524592,7.97871046229,5.17148035547
1101,1.44525330899,7.95142053074,6.31854518969
1102,1.2401372273,5.6614418697,3.324424485
1201,1.29954547368,8.51338289963,7.64223087206
1202,1.29954547368,8.51338289963,7.64223087206
1301,1.22500363966,8.60891596046,6.67473687876
1302,0.891334663159,6.35950217539,4.08941855066
1303,0.8617245704,7.17817285084,4.89489196393
1304,0.752287078926,7.02910124222,3.46704582912
1401,0.897049435935,8.67525257871,5.79854868325
1402,0.979333001375,8.13636118364,5.51159669585
1403,0.918314280264,6.81339332966,3.19676582596
1404,0.979333001375,8.13636118364,5.51159669585
1501,0.904212203383,7.4454185675,5.39095599182
1502,0.835029525492,6.54899957192,5.16476149796
1503,0.823952557948,7.04077211196,4.76677071747
1504,0.823952557948,7.04077211196,4.76677071747
1505,0.904212203383,7.4454185675,5.39095599182
1506,0.835029525492,6.54899957192,5.16476149796
1601,1.41176804752,7.1203271028,4.25716945996
1602,1.41176804752,7.1203271028,4.25716945996
1701,0.849513232541,7.40288635427,4.49540125349
1702,0.804631576215,6.66139042937,1.92211603284
1801,1.23837685146,8.99534486072,7.23205154809
1802,0.828129921524,7.6213700814,5.86730193267
1803,0.828129921524,7.6213700814,5.86730193267
1804,0.831766684089,7.55082500804,6.50394963211
1805,0.802050135452,7.54407491562,5.80885432891
1806,0.802050135452,7.54407491562,5.80885432891
1807,1.2100966733,7.84170732008,6.72062401416
1808,0.802050135452,7.54407491562,5.80885432891
1809,1.2100966733,7.84170732008,6.72062401416
1901,1.09151242204,9.29745055256,7.41215850857
1902,0.751532352692,8.41160132341,6.43940945838
1903,0.902427439591,8.60672458172,6.49551179987
2001,0.982277511239,7.70765027322,6.45224425887
2002,0.951690264874,7.33011363636,6.72245467225
2003,0.951690264874,7.33011363636,6.72245467225
2101,1.4519643837,9.4540748163,7.20613407525
2102,0.903908132454,7.2309602649,5.77634099617
2103,1.27081115081,9.25943396226,7.33345077512
2104,1.65761414235,8.41387959866,6.22407628129
2105,0.975779066435,7.72813852814,6.35042956599
2106,0.912256275352,6.94659300184,6.0937408599
2107,0.894207854899,7.9988372093,6.59337349398
2108,0.903908132454,7.2309602649,5.77634099617
2201,1.04233461666,8.21525809574,5.63558367512
2202,1.04233461666,8.21525809574,5.63558367512
2203,1.00009050704,6.96250306598,3.8373330029
2204,1.04233461666,8.21525809574,5.63558367512
2205,1.88057960215,9.35634654172,5.12650519433
2206,1.00009050704,6.96250306598,3.8373330029
2301,1.32446404895,8.92771322947,7.72448060526
2302,0.732906695911,6.2764261745,5.78746365466
2303,1.32446404895,8.92771322947,7.72448060526
2304,0.940381915082,7.77404718693,6.9104040404
2305,0.732906695911,6.2764261745,5.78746365466
2306,0.732906695911,6.2764261745,5.78746365466
2401,1.17282746015,9.2182952183,6.78362248439
2402,1.17282746015,9.2182952183,6.78362248439
2403,1.00621080538,9.01104100946,7.4574270557
2404,0.680466483277,6.94614512472,6.14696
