mun,inctot,educdo,edu10
2901,1.76547588852,7.66156072366,5.69943917049
2902,0.951554199497,7.1260580614,5.2427480916
2903,1.12800704792,7.45836772481,4.2132833615
2904,1.07413587565,7.88562801966,4.99946244522
2905,1.00508781702,7.24067531008,3.68943883713
3001,1.20476822593,8.12219551282,6.32546221865
3002,0.781420957086,6.02226720648,5.71807711567
3003,0.781420957086,6.02226720648,5.71807711567
3101,0.883474415802,7.0795990566,5.87836791576
3102,0.912615092258,5.23907455013,4.89400458979
3103,0.912615092258,5.23907455013,4.89400458979
3201,1.85178508233,10.7548810723,8.60786314526
3202,1.97549403762,10.1818927262,8.34791615028
3203,1.71772371628,9.4682706355,7.51728034655
3204,1.43660174696,7.95579029734,6.91409651669
3205,0.774857222052,6.62747252747,6.43611878453
3206,1.42169543802,8.62669094693,7.27498469364
3207,1.34421625743,8.10107913669,6.81911592015
MEAN,1.11899677188,7.60201465191,5.45111989868
