PROV,MUN,sg110,grossalary,occinc,frstsourcinc,yearsedu,CODIGO
2,03,12,4187.38193739,4155.1713071,172.215251043,6.5,203
2,03,13,4187.38193739,4155.1713071,172.215251043,6.5,203
2,03,14,4187.38193739,4155.1713071,172.215251043,6.5,203
2,03,21,1368.15449439,1357.63022905,417.047932942,8.0,203
2,03,22,1368.15449439,1357.63022905,417.047932942,8.0,203
2,03,45,5740.50836809,,,12.0,203
2,03,52,587.684544183,583.163893843,459.455938511,3.25,203
2,03,55,279.849782944,277.697092306,,0.5,203
2,03,60,2611.93130748,2591.83952819,,0.0,203
2,03,63,1865.66521963,1722.15251043,1435.12709202,,203
2,03,75,1722.15251043,1722.15251043,6218.88406543,8.0,203
2,03,90,2009.17792883,2009.17792883,,6.0,203
2,03,92,1148.10167362,1148.10167362,,16.0,203
2,04,01,1687.07162595,1685.79595743,1148.10167362,5.66666666667,204
2,04,05,1687.07162595,1685.79595743,1148.10167362,5.66666666667,204
2,04,1,3123.35841664,3255.15527012,770.652617845,4.90909090909,204
2,04,52,729.522938444,717.563546011,1004.58896442,5.25,204
2,04,55,1148.10167362,1148.10167362,3516.06137545,2.5,204
2,04,60,6888.61004171,6888.61004171,,3.0,204
2,04,65,1148.10167362,1148.10167362,574.050836809,14.0,204
2,04,74,2224.44699263,2224.44699263,789.319900612,13.5,204
2,04,75,5740.50836809,5740.50836809,956.751394681,12.0,204
2,04,80,4735.91940367,4735.91940367,1435.12709202,14.0,204
2,04,85,4348.43508883,4348.43508883,574.050836809,13.0,204
2,04,93,621.888406543,617.104649569,,7.0,204
2,05,01,2320.02645696,2320.02645696,1894.36776147,2.0,205
2,05,05,2320.02645696,2320.02645696,1894.36776147,2.0,205
