mun,1,11,12,13,21,22,23,24,31,32,33,34,41,42,51,52,61,71,72,73,74,81,82,83,91,92,93,98,10,14,15,16,17,18,19,20,25,26,27,28,29,30,35,36,40,45,5,50,55,60,62,63,64,65,66,67,70,80,85,90,37,2,MUNTOTAL,share1,share11,share12,share13,share21,share22,share23,share24,share31,share32,share33,share34,share41,share42,share51,share52,share61,share71,share72,share73,share74,share81,share82,share83,share91,share92,share93,share98,share10,share14,share15,share16,share17,share18,share19,share20,share25,share26,share27,share28,share29,share30,share35,share36,share40,share45,share5,share50,share55,share60,share62,share63,share64,share65,share66,share67,share70,share80,share85,share90,share37,share2
210,5.0,2.0,0,1.0,0.0,30.0,8.0,1.0,1.0,0.0,4.0,6.0,10.0,2,8.0,35.0,40.0,12.0,10.0,0.0,7.0,0,3,8,62.0,23.0,15.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.0,0.0167785234899,0.00671140939597,0.0,0.00335570469799,0.0,0.10067114094,0.0268456375839,0.00335570469799,0.00335570469799,0.0,0.0134228187919,0.0201342281879,0.0335570469799,0.00671140939597,0.0268456375839,0.11744966443,0.134228187919,0.0402684563758,0.0335570469799,0.0,0.0234899328859,0.0,0.010067114094,0.0268456375839,0.208053691275,0.0771812080537,0.0503355704698,0.0167785234899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
301,59.5,4.0,3,1.0,2.0,11.0,47.0,2.0,5.0,5.0,12.0,13.0,30.0,9,17.0,40.0,16.0,25.0,9.0,0.0,8.0,3,2,11,68.0,14.0,15.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,448.0,0.1328125,0.00892857142857,0.00669642857143,0.00223214285714,0.00446428571429,0.0245535714286,0.104910714286,0.00446428571429,0.0111607142857,0.0111607142857,0.0267857142857,0.0290178571429,0.0669642857143,0.0200892857143,0.0379464285714,0.0892857142857,0.0357142857143,0.0558035714286,0.0200892857143,0.0,0.0178571428571,0.00669642857143,0.00446428571429,0.0245535714286,0.151785714286,0.03125,0.0334821428571,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00558035714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
302,22.0,4.0,3,1.0,2.0,11.0,47.0,2.0,5.0,5.0,12.0,13.0,30.0,9,17.0,20.0,16.0,25.0,9.0,0.0,8.0,3,2,11,68.0,14.0,15.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388.0,0.0567010309278,0.0103092783505,0.00773195876289,0.00257731958763,0.00515463917526,0.0283505154639,0.121134020619,0.00515463917526,0.0128865979381,0.0128865979381,0.0309278350515,0.0335051546392,0.0773195876289,0.0231958762887,0.0438144329897,0.0515463917526,0.0412371134021,0.0644329896907,0.0231958762887,0.0,0.020618556701,0.00773195876289,0.00515463917526,0.0283505154639,0.175257731959,0.0360824742268,0.0386597938144,0.0360824742268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
303,6.0,2.0,1,0.0,1.0,4.0,9.0,12.0,4.0,4.0,4.0,2.0,6.0,2,9.0,12.0,38.0,13.0,3.0,0.0,1.0,3,2,20,47.0,35.0,5.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,264.0,0.0227272727273,0.00757575757576,0.00378787878788,0.0,0.00378787878788,0.0151515151515,0.0340909090909,0.0454545454545,0.0151515151515,0.0151515151515,0.0151515151515,0.00757575757576,0.0227272727273,0.00757575757576,0.0340909090909,0.0454545454545,0.143939393939,0.0492424242424,0.0113636363636,0.0,0.00378787878788,0.0113636363636,0.00757575757576,0.0757575757576,0.17803030303,0.132575757576,0.0189393939394,0.0151515151515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0568181818182,0.0,0.0,0.0
304,22.0,4.0,3,1.0,2.0,11.0,47.0,2.0,5.0,5.0,12.0,13.0,30.0,9,17.0,20.0,16.0,25.0,9.0,0.0,8.0,3,2,11,68.0,14.0,15.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388.0,0.0567010309278,0.0103092783505,0.00773195876289,0.00257731958763,0.00515463917526,0.0283505154639,0.121134020619,0.00515463917526,0.0128865979381,0.0128865979381,0.0309278350515,0.0335051546392,0.0773195876289,0.0231958762887,0.0438144329897,0.0515463917526,0.0412371134021,0.0644329896907,0.0231958762887,0.0,0.020618556701,0.00773195876289,0.00515463917526,0.0283505154639,0.175257731959,0.0360824742268,0.0386597938144,0.0360824742268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
305,22.0,4.0,3,1.0,2.0,11.0,47.0,2.0,5.0,5.0,12.0,13.0,30.0,9,17.0,20.0,16.0,25.0,9.0,0.0,8.0,3,2,11,68.0,14.0,15.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388.0,0.0567010309278,0.0103092783505,0.00773195876289,0.00257731958763,0.00515463917526,0.0283505154639,0.121134020619,0.00515463917526,0.0128865979381,0.0128865979381,0.0309278350515,0.0335051546392,0.0773195876289,0.0231958762887,0.0438144329897,0.0515463917526,0.0412371134021,0.0644329896907,0.0231958762887,0.0,0.020618556701,0.00773195876289,0.00515463917526,0.0283505154639,0.175257731959,0.0360824742268,0.0386597938144,0.0360824742268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401,136.5,3.0,4,7.0,7.0,34.0,66.0,27.5,21.0,7.0,6.0,27.0,64.0,28,71.0,143.5,21.0,48.5,38.0,2.0,32.5,3,61,28,167.0,24.5,36.0,15,0.0,0.0,155.0,0.0,0.0,150.0,0.0,0.0,0.0,87.5,0.0,0.0,0.0,0.0,0.0,17.5,0.0,5.0,0.0,50.0,67.5,15.0,0.0,5.0,12.5,35.0,0.0,0.0,7.5,102.5,17.5,0.0,37.5,0.0,1894.0,0.0720696937698,0.00158394931362,0.00211193241816,0.00369588173178,0.00369588173178,0.0179514255544,0.0348468848997,0.0145195353749,0.0110876451954,0.00369588173178,0.00316789862724,0.0142555438226,0.0337909186906,0.0147835269271,0.0374868004224,0.0757655755016,0.0110876451954,0.0256071805702,0.0200633579725,0.00105596620908,0.0171594508976,0.00158394931362,0.032206969377,0.0147835269271,0.0881731784583,0.0129355860612,0.0190073917635,0.00791974656811,0.0,0.0,0.0818373812038,0.0,0.0,0.0791974656811,0.0,0.0,0.0,0.0461985216473,0.0,0.0,0.0,0.0,0.0,0.00923970432946,0.0,0.0026399155227,0.0,0.026399155227,0.0356388595565,0.00791974656811,0.0,0.0026399155227,0.00659978880676,0.0184794086589,0.0,0.0,0.00395987328405,0.0541182682154,0.00923970432946,0.0,0.0197993664203,0.0
402,16.0,1.0,0,1.0,2.0,7.0,10.0,1.0,0.0,5.0,6.0,3.0,14.0,2,17.0,10.5,16.0,8.0,2.0,0.0,3.0,0,6,6,36.0,22.0,15.0,2,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,0.0747663551402,0.00467289719626,0.0,0.00467289719626,0.00934579439252,0.0327102803738,0.0467289719626,0.00467289719626,0.0,0.0233644859813,0.0280373831776,0.0140186915888,0.0654205607477,0.00934579439252,0.0794392523364,0.0490654205607,0.0747663551402,0.0373831775701,0.00934579439252,0.0,0.0140186915888,0.0,0.0280373831776,0.0280373831776,0.168224299065,0.102803738318,0.0700934579439,0.00934579439252,0.0,0.0,0.0116822429907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
403,2.0,3.0,1,0.0,1.0,6.0,15.0,1.0,2.0,3.0,3.0,5.0,11.0,2,7.0,5.0,41.0,8.0,5.0,0.0,0.0,0,0,5,51.0,44.0,8.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,0.00869565217391,0.0130434782609,0.00434782608696,0.0,0.00434782608696,0.0260869565217,0.0652173913043,0.00434782608696,0.00869565217391,0.0130434782609,0.0130434782609,0.0217391304348,0.0478260869565,0.00869565217391,0.0304347826087,0.0217391304348,0.178260869565,0.0347826086957,0.0217391304348,0.0,0.0,0.0,0.0,0.0217391304348,0.221739130435,0.191304347826,0.0347826086957,0.00434782608696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
404,2.0,3.0,1,0.0,1.0,6.0,15.0,1.0,2.0,3.0,3.0,5.0,11.0,2,7.0,5.0,41.0,8.0,5.0,0.0,0.0,0,0,5,51.0,44.0,8.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.5,0.00860215053763,0.0129032258065,0.00430107526882,0.0,0.00430107526882,0.0258064516129,0.0645161290323,0.00430107526882,0.00860215053763,0.0129032258065,0.0129032258065,0.0215053763441,0.047311827957,0.00860215053763,0.0301075268817,0.0215053763441,0.176344086022,0.0344086021505,0.0215053763441,0.0,0.0,0.0,0.0,0.0215053763441,0.21935483871,0.189247311828,0.0344086021505,0.00430107526882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010752688172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
