MUNICIPIO,2002AvgRate,duty2013
101,10.3365121137,2.78737844934
201,18.920952381,6.84221590814
301,17.76,1.97319946036
401,15.0685990991,3.02196729808
402,7.71428571429,2.33395176252
501,20.0,11.25
601,11.8053126261,4.39519862139
605,11.6,3.39831002331
801,14.9265118969,2.57699769009
802,3.0,1.68
901,11.7891025639,1.7607081091
902,7.71428571429,2.33395176252
1001,14.8515151515,4.27890796073
1002,17.76,1.97319946036
1003,5.80769230769,0.0646153846154
1101,13.795208177,5.35012061158
1102,5.16,0.288760896638
1201,14.7821332549,3.8377194632
1301,16.315017627,2.76156712176
1303,12.8860110889,3.65009747632
1304,13.4365179133,4.71446170109
1401,16.9799213147,8.75351693957
1402,16.5597043036,0.156309315684
1404,14.0,4.43151515151
1501,16.0596440695,5.9778492851
1503,12.6788319034,1.3977653112
1506,5.28378378378,1.09416520979
1601,9.0,3.52531468532
1701,14.1339128301,2.64009019371
1702,20.0,11.25
1801,12.1751311093,3.14481886209
1803,18.2536231739,8.93143610013
1804,20.0,10.2348484848
1807,20.7352421108,8.1182009403
1901,18.814690047,0.892531855995
1902,3.0,1.68
1903,17.0,6.83712121212
2001,11.2962962963,5.69254856255
2003,3.77272727273,0.511363636364
2101,11.8468733985,2.11320872648
2103,7.13570362672,1.55646344777
2105,16.8792988868,3.50221099533
2107,6.59444843209,1.19808456722
2201,19.2666666667,9.9014951317
2301,13.9021418799,1.43863655881
2304,3.0,1.68
2401,14.1512782603,2.45766891696
2403,5.18503118503,1.00999865519
2501,13.8191978804,3.08814083864
2502,15.9241984586,4.86049339654
2504,12.8736282043,3.86036423948
2505,8.53645832812,0.0
2506,18.5,6.06279137529
2507,19.0,7.68560606061
2601,8.32034170285,3.68660664463
2603,12.125,3.88904064685
2701,11.9561884139,1.85973490906
2702,17.9454177196,0.0952795110075
2703,5.28378378378,1.09416520979
2801,15.5105876499,1.61366287993
2802,5.41047297297,0.439800954254
2901,17.5913365342,9.65129844145
2902,17.0,6.83712121212
3001,14.1553867901,1.47099547234
3002,4.0,0.0
3101,20.0,10.2348484848
3102,20.0,11.25
3201,13.0437487256,2.93481803403
3202,9.67016067517,2.70817004073
3203,9.20817172624,2.3686472663
3204,12.0142882182,1.48571927142
3206,18.707865544,2.82609715791
