inc02,edu02,edu10,munocc,grossalary13,occinc13,frstsourcinc13,edu13,numworkers02,numworkers10,firmconc02,firmconc10,occ,duty02,duty10,duty13,nontraded
2.14360047251,13.0726600985,11.9207317073,101,2.78632992665,2.78632992665,0.0696582481663,10.0,2571.0,2331.0,0.048267187324,0.0372352321012,1,11.2825112108,3.22155622156,1.49038595813,0
2.14360047251,13.0726600985,11.9207317073,101,3.48291240832,3.48291240832,0.696582481663,16.0,2571.0,2331.0,0.048267187324,0.0372352321012,1,11.2825112108,3.22155622156,1.49038595813,0
1.18424750224,12.3125,7.5,201,0.433429099702,0.431881138631,0.290242700693,9.66666666667,121.5,99.5,0.236842105263,0.106303418803,1,11.2825112108,3.22155622156,1.49038595813,0
1.18424750224,12.3125,7.5,201,1.32931156917,1.31479943414,0.81267956194,10.5,121.5,99.5,0.236842105263,0.106303418803,1,11.2825112108,3.22155622156,1.49038595813,0
1.07511889282,9.75,8.0,204,2.08974744499,2.08974744499,,12.0,6.0,1.0,0.0535714285714,0.00335570469799,1,11.2825112108,3.22155622156,1.49038595813,0
1.07511889282,9.75,8.0,204,0.710514131297,0.70772780137,0.229872218949,11.0,6.0,1.0,0.0535714285714,0.00335570469799,1,11.2825112108,3.22155622156,1.49038595813,0
1.07511889282,9.75,8.0,206,1.05261352785,1.04951760571,1.04487372249,11.0,6.0,1.0,0.0535714285714,0.00335570469799,1,11.2825112108,3.22155622156,1.49038595813,0
1.04855849052,11.4285714286,9.75,301,0.442716866124,0.439311351769,0.263168861572,10.3333333333,59.5,42.5,0.295285359801,0.0786308973173,1,11.2825112108,3.22155622156,1.49038595813,0
1.04855849052,11.4285714286,9.75,301,1.05067857651,1.03326401447,0.216776468294,11.1666666667,59.5,42.5,0.295285359801,0.0786308973173,1,11.2825112108,3.22155622156,1.49038595813,0
1.14248223196,10.3333333333,,303,0.362222890465,0.359436560538,,11.0,6.0,0.0,0.0666666666667,0.0,1,11.2825112108,3.22155622156,1.49038595813,0
1.04855849052,11.4285714286,9.75,304,0.619184428145,0.603704817442,0.278632992665,9.33333333333,22.0,5.0,0.134146341463,0.00994035785288,1,11.2825112108,3.22155622156,1.49038595813,0
1.04855849052,11.4285714286,9.75,305,0.417949488998,0.417949488998,,11.0,22.0,5.0,0.134146341463,0.00994035785288,1,11.2825112108,3.22155622156,1.49038595813,0
0.463459773344,11.6666666667,,402,0.422593372209,0.419342653961,,12.0,16.0,0.0,0.169312169312,0.0,1,11.2825112108,3.22155622156,1.49038595813,0
1.29337611166,14.5,,404,2.1516658878,2.1361862771,0.928776642218,13.0,2.0,0.0,0.0212765957447,0.0,1,11.2825112108,3.22155622156,1.49038595813,0
1.23443511457,11.5714285714,,405,0.857791570277,0.857592546711,0.673363065608,14.8571428571,12.0,0.0,0.173913043478,0.0,1,11.2825112108,3.22155622156,1.49038595813,0
5.44861315368,13.1764705882,13.0,407,0.845186744418,0.838685307923,0.0417949488998,11.0,34.0,1.0,0.104938271605,0.000956937799043,1,11.2825112108,3.22155622156,1.49038595813,0
1.08195886264,10.2307692308,8.25,501,0.139316496333,0.139316496333,,10.0,32.0,4.0,0.216949152542,0.010854816825,1,11.2825112108,3.22155622156,1.49038595813,0
1.08195886264,10.2307692308,8.25,501,0.487607737164,0.487607737164,0.775528496252,11.5,32.0,4.0,0.216949152542,0.010854816825,1,11.2825112108,3.22155622156,1.49038595813,0
0.903129264877,10.0,12.0,503,0.72444578093,0.905557226162,0.696582481663,14.3333333333,21.0,1.0,0.166666666667,0.00280112044818,1,11.2825112108,3.22155622156,1.49038595813,0
0.903129264877,10.0,12.0,505,3.43647357621,3.20427941565,2.43803868582,13.0,21.0,1.0,0.166666666667,0.00280112044818,1,11.2825112108,3.22155622156,1.49038595813,0
1.08859156065,11.7083333333,13.5,601,2.1361862771,2.1361862771,1.20740963488,12.0,338.5,329.5,0.160312574,0.107626980238,1,11.2825112108,3.22155622156,1.49038595813,0
1.08859156065,11.7083333333,13.5,601,0.441168905053,0.731411605746,18.1111445232,10.6,338.5,329.5,0.160312574,0.107626980238,1,11.2825112108,3.22155622156,1.49038595813,0
0.533517646059,13.0,,602,1.93185541581,1.91699498954,,11.0,3.0,0.0,0.00837988826816,0.0,1,11.2825112108,3.22155622156,1.49038595813,0
0.970032083744,9.0,,603,1.38852108012,1.28171176626,,9.0,7.0,0.0,0.0174129353234,0.0,1,11.2825112108,3.22155622156,1.49038595813,0
0.970032083744,9.0,,603,2.78632992665,2.78632992665,,12.0,7.0,0.0,0.0174129353234,0.0,1,11.2825112108,3.22155622156,1.49038595813,0
0.533517646059,13.0,,605,1.67179795599,1.67179795599,,12.0,3.0,0.0,0.00832177531207,0.0,1,11.2825112108,3.22155622156,1.49038595813,0
0.533517646059,13.0,,605,1.74145620416,1.74145620416,,9.0,3.0,0.0,0.00832177531207,0.0,1,11.2825112108,3.22155622156,1.49038595813,0
1.31762691375,14.25,10.0,701,0.23210128289,0.23210128289,,11.0,23.0,1.0,0.258426966292,0.00373134328358,1,11.2825112108,3.22155622156,1.49038595813,0
0.727524062808,11.75,9.0,801,0.72444578093,0.718873121077,,12.0,6.0,1.0,0.0105726872247,0.000894054537327,1,11.2825112108,3.22155622156,1.49038595813,0
0.727524062808,11.75,9.0,801,1.09711740862,1.04487372249,,10.25,6.0,1.0,0.0105726872247,0.000894054537327,1,11.2825112108,3.22155622156,1.49038595813,0
