mun,munname,duty02,duty10,pop02,pop10,empop02,empop10,workagepop02,workagepop10,prov
1302,Constanza,3.65582639334,3.2443454027,58600,59052,19642,19690,35227,37502,13
1303,Jarabacoa,2.85500673847,0.878439111816,56931,56803,20183,17955,35151,36908,13
1304,Jima Abajo,7.38539619298,3.60106010363,26667,30261,9377,8838,16482,18650,13
1401,Nagua,2.88167541132,1.22816074039,68032,76993,24135,25521,42201,49829,14
1402,Cabrera,2.39869300063,0.698438412309,26655,24524,9160,6893,16664,16144,14
1403,El Factor,2.58392733617,0.774842809905,25948,24240,7678,6605,16024,15452,14
1404,Río San Juan,2.33956903151,0.802400061134,15092,15168,5693,4942,9452,9812,14
1501,Monte Cristi,6.6714219405,2.98137755921,25776,24644,9552,7108,15988,16051,15
1502,Castañuelas,3.75387942102,1.04894013698,13748,14921,4988,4842,8599,9613,15
1503,Guayubín,6.93217557512,2.10401075479,35524,35923,12624,11734,22026,23469,15
1504,Las Matas de Santa Cruz,4.12345644553,1.77608346356,11937,10559,4006,3260,7064,6658,15
1505,Pepillo Salcedo (Manzanillo),3.37225451774,1.21452633395,9245,9136,3360,2637,5686,5902,15
1506,Villa Vásquez,4.48964772611,1.25326484554,14784,14424,5651,4228,8840,9505,15
1601,Pedernales,7.71358078256,2.67254458718,13805,24291,5053,8854,7983,14575,16
1602,oviedo,3.32857652846,2.50544407883,7402,7296,2712,1597,4400,4434,16
1701,Baní,4.34452015446,1.02324965997,147013,157316,51914,44699,87936,99378,17
1702,Nizao,2.11350381628,0.471339390578,22852,27028,8374,8737,13079,16855,17
1801,Puerto Plata,2.54159912153,0.818968081833,147963,158756,55634,52260,88891,101669,18
1802,Altamira,2.42462041054,0.635082889974,22983,18868,8355,4913,14354,12871,18
1803,Guananico,3.59435646519,0.921171395031,6047,6333,2329,2224,3838,4194,18
1804,Imbert,2.11804689452,1.10465508558,23564,22058,8669,6515,14439,14500,18
1805,Los Hidalgos,2.22772678751,0.886237126679,13569,12639,4819,3621,8549,8432,18
1806,Luperón,1.4046096193,0.690138975879,18342,16464,6074,4298,11530,10854,18
1807,Sosúa,3.44257901856,1.14108117447,44938,49593,16628,16628,26089,30973,18
1808,Villa Isabela,2.27065023235,0.894435434974,17020,17169,5894,5129,10593,11163,18
1809,Villa Montellano,1.49641447689,0.45426128139,18280,19717,6554,6022,10798,12514,18
1901,Salcedo,6.83305564781,0.770147231592,40510,39557,15389,11893,25596,26213,19
1902,Tenares,1.21460993961,0.374002842544,30386,27765,11051,8179,18819,17832,19
1903,Villa Tapia,3.85603887269,1.16648958879,25460,24871,8685,7500,15979,16712,19
2001,Samaná,1.72741116794,0.534368567146,51501,58156,16583,15768,30758,36939,20
2002,Sánchez,1.85737741384,0.272204030225,26505,24509,8104,6724,16293,15977,20
2003,Las Terrenas,1.62101863029,0.264020974956,13869,18829,5406,7274,7944,11637,20
2101,San Cristóbal,5.05982717538,1.11034362117,220767,232769,79072,71055,130729,145734,21
