HS2,year,duty
23,1997,3.14583333333
23,1998,3.14583333333
23,1999,3.14583333333
23,2000,3.14583333333
23,2001,6.20833333333
23,2002,6.20833333333
23,2003,6.20833333333
23,2004,6.20833333333
23,2005,6.20833333333
23,2006,6.20833333333
24,1996,17.3333333333
24,1997,17.3333333333
24,1998,17.3333333333
24,1999,17.3333333333
24,2000,17.3333333333
24,2001,17.3333333333
24,2002,17.3333333333
24,2003,17.3333333333
24,2004,17.3333333333
24,2005,17.3333333333
24,2006,17.3333333333
25,1996,4.71875
25,1997,4.71875
25,1998,4.71875
25,1999,4.71875
25,2000,4.71875
25,2001,4.67361111111
25,2002,4.67361111111
25,2003,4.73263888889
25,2004,4.73263888889
25,2005,4.73263888889
25,2006,4.73263888889
26,1996,3.0
26,1997,3.0
26,1998,3.0
26,1999,3.0
26,2000,3.0
26,2001,3.0
26,2002,3.0
26,2003,3.0
26,2004,3.0
26,2005,3.0
26,2006,3.0
27,1996,3.04166665
27,1997,3.04166665
27,1998,3.04166665
27,1999,3.04166665
27,2000,3.04166665
27,2001,3.106944425
27,2002,3.106944425
27,2003,3.20052083125
27,2004,3.20052083125
27,2005,3.20052083125
27,2006,3.20052083125
28,1996,3.16025640659
28,1997,3.16025640659
28,1998,3.16025640659
28,1999,3.16025640659
28,2000,3.16025640659
28,2001,2.97069596703
28,2002,2.97069596703
28,2003,2.97069596703
28,2004,2.97069596703
28,2005,2.97069596703
28,2006,2.97069596703
29,1996,2.99038461538
29,1997,2.99038461538
29,1998,2.99038461538
29,1999,2.99038461538
29,2000,2.99038461538
29,2001,2.90918803205
29,2002,2.90918803205
29,2003,2.90918803205
29,2004,2.90918803205
29,2005,2.90918803205
29,2006,2.90918803205
30,1996,2.89655172414
30,1997,2.89655172414
30,1998,2.89655172414
30,1999,2.89655172414
30,2000,2.89655172414
30,2001,2.79310344828
30,2002,2.79310344828
30,2003,2.79310344828
30,2004,2.79310344828
30,2005,2.79310344828
30,2006,2.79310344828
31,1996,1.73076923077
31,1997,1.73076923077
31,1998,1.73076923077
31,1999,1.73076923077
31,2000,1.73076923077
31,2001,0.0
31,2002,0.0
31,2003,0.0
31,2004,0.0
31,2005,0.0
31,2006,0.0
32,1996,5.88152173913
32,1997,5.88152173913
32,1998,5.88152173913
32,1999,5.88152173913
32,2000,5.88152173913
32,2001,6.18683573913
32,2002,6.18683573913
32,2003,6.19987921739
32,2004,6.19987921739
32,2005,6.19987921739
32,2006,6.19987921739
33,1996,12.5142857143
33,1997,12.5142857143
33,1998,12.5142857143
33,1999,12.5142857143
33,2000,12.5142857143
33,2001,12.2285714286
33,2002,12.2285714286
33,2003,12.2285714286
33,2004,12.2285714286
33,2005,12.2285714286
33,2006,12.2285714286
34,1996,9.26086956522
34,1997,9.26086956522
34,1998,9.26086956522
34,1999,9.26086956522
34,2000,9.26086956522
34,2001,12.5362318696
34,2002,12.5362318696
34,2003,12.5362318696
34,2004,12.5362318696
34,2005,12.5362318696
34,2006,12.5362318696
35,1996,6.66666666667
35,1997,6.66666666667
35,1998,6.66666666667
35,1999,6.66666666667
35,2000,6.66666666667
35,2001,8.13333333333
35,2002,8.13333333333
35,2003,8.13333333333
35,2004,8.13333333333
35,2005,8.13333333333
35,2006,8.13333333333
36,1996,13.625
36,1997,13.625
36,1998,13.625
36,1999,13.625
36,2000,13.625
36,2001,13.625
36,2002,13.625
36,2003,13.625
36,2004,13.625
36,2005,13.625
36,2006,13.625
