occ,mun,inctot,educdo,edu10
1,101,1.27227791384,5.63157894737,11.9207317073
1,201,0.85554808886,6.3125,7.5
1,202,0.808360069787,5.2,
1,203,1.55205133399,7.0,12.0
1,204,1.1317040977,4.0,8.0
1,205,0.808360069787,5.2,
1,206,1.1317040977,4.0,8.0
1,207,0.85554808886,6.3125,7.5
1,208,1.55205133399,7.0,12.0
1,209,1.55205133399,7.0,12.0
1,210,0.808360069787,5.2,
1,301,0.989023156317,6.6,9.75
1,302,0.989023156317,6.6,9.75
1,303,0.59279738451,7.33333333333,
1,304,0.989023156317,6.6,9.75
1,305,0.989023156317,6.6,9.75
1,401,6.69367786352,6.64705882353,13.0
1,402,0.972021893146,5.76923076923,
1,405,1.01530024765,4.0,
1,406,6.69367786352,6.64705882353,13.0
1,407,6.69367786352,6.64705882353,13.0
1,408,6.69367786352,6.64705882353,13.0
1,409,0.972021893146,5.76923076923,
1,410,0.972021893146,5.76923076923,
1,411,1.01530024765,4.0,
1,501,1.03331769543,5.72222222222,8.25
1,502,0.767942066297,6.2,12.0
1,503,0.767942066297,6.2,12.0
1,504,0.767942066297,6.2,12.0
1,505,0.767942066297,6.2,12.0
1,601,1.19434721551,6.07501974204,13.5
1,602,1.21338803482,5.49475524476,
1,603,0.911479382166,6.54728789986,
1,604,0.970032083744,7.0,
1,605,1.21338803482,5.49475524476,
1,606,0.970032083744,7.0,
1,607,0.911479382166,6.54728789986,
1,701,0.924083195566,5.94736842105,10.0
1,702,0.924083195566,5.94736842105,10.0
1,703,0.776025666995,7.0,
1,704,0.776025666995,7.0,
1,705,0.924083195566,5.94736842105,10.0
1,706,0.776025666995,7.0,
1,801,5.38367806478,8.0,9.0
1,802,0.808360069787,0.0,
1,901,42.5827467083,6.78142414861,8.5
1,902,42.5827467083,6.78142414861,8.5
1,903,0.705834181046,5.53168044077,
1,904,0.705834181046,5.53168044077,
1,1001,1.06990946126,5.4,9.0
1,1002,1.06990946126,5.4,9.0
1,1003,1.06990946126,5.4,9.0
1,1004,1.06990946126,5.4,9.0
1,1005,1.06990946126,5.4,9.0
1,1006,1.06990946126,5.4,9.0
1,1101,3.64916831504,5.14285714286,7.0
1,1201,0.957098322627,6.8,12.0
1,1202,0.957098322627,6.8,12.0
1,1301,1.10152532176,5.6,16.125
1,1302,0.941820317308,3.91666666667,5.5
1,1303,1.02392275506,6.66666666667,5.0
1,1304,0.808360069787,6.0,
1,1401,0.646688055829,0.0,12.0
1,1402,1.14248223196,7.0,
1,1404,1.14248223196,7.0,
1,1501,0.5849879175,2.5459057072,
1,1502,0.808360069787,6.0,
1,1503,0.808360069787,6.0,
1,1504,0.808360069787,6.0,
1,1505,0.5849879175,2.5459057072,
1,1506,0.808360069787,6.0,
1,1601,0.689531139528,6.0,
1,1602,0.689531139528,6.0,
1,1701,0.971718010851,6.0228340081,4.0
1,1702,1.11646872348,5.9265129683,
1,1801,0.840694472578,5.75,10.25
1,1802,0.970032083744,4.0,
1,1803,0.970032083744,4.0,
1,1804,2.16996177133,8.0,8.0
1,1805,0.751774864901,5.5,
1,1806,0.751774864901,5.5,
1,1807,0.898896397603,4.6,11.5
1,1808,0.751774864901,5.5,
1,1809,0.898896397603,4.6,11.5
1,1903,1.05086809072,8.0,11.0
1,2001,1.11553689631,7.0,8.0
1,2002,0.892429517044,4.0,
1,2003,0.892429517044,4.0,
1,2101,1.18173733149,5.63157894737,10.3333333333
1,2102,0.906379502249,7.28571428571,
1,2103,1.13457826684,6.77777777778,4.5
1,2104,0.786803801259,5.66666666667,
1,2105,0.603575518774,5.16666666667,16.0
1,2106,1.00128867311,5.66666666667,7.0
1,2107,0.817413702568,6.4,
1,2108,0.906379502249,7.28571428571,
1,2201,0.944709059472,5.69986529478,14.5
1,2202,0.944709059472,5.69986529478,14.5
1,2203,0.740134479897,6.0,
1,2204,0.944709059472,5.69986529478,14.5
1,2205,0.939987086658,5.82110552764,7.0
1,2206,0.740134479897,6.0,
1,2301,1.43426172382,4.85714285714,12.1666666667
1,2302,0.485016041872,8.0,8.0
1,2303,1.43426172382,4.85714285714,12.1666666667
1,2304,0.889196076765,6.75,
1,2305,0.485016041872,8.0,8.0
1,2306,0.485016041872,8.0,8.0
1,2401,1.1317040977,7.0,6.0
1,2402,1.1317040977,7.0,6.0
1,2404,0.905363278161,7.5,12.0
1,2501,3.50261467227,6.88235294118,11.8333333333
1,2502,2.32807700099,4.0,
1,2506,1.06703529212,3.0,
1,2509,0.703273260714,6.0,
1,2601,1.84306095911,4.0,8.5
1,2602,1.84306095911,4.0,8.5
1,2603,1.84306095911,4.0,8.5
1,2701,1.15441901566,6.375,16.0
1,2801,1.18990602273,7.0,11.3333333333
1,2901,0.984607357318,5.64664043584,
1,2902,0.901416274835,6.95948827292,
1,2903,1.14938627801,6.17455213597,
1,2904,1.16171752295,6.5981703026,12.0
1,2905,1.50755731385,5.92724867725,
1,3001,1.29337611166,8.0,9.0
1,3002,0.743691264204,6.5,
1,3003,0.743691264204,6.5,
1,3102,0.970032083744,3.0,
1,3103,0.970032083744,3.0,
1,3201,1.29592768137,5.58031088083,9.98717948718
1,3202,1.81996495712,5.82142857143,9.71428571429
1,3203,1.03783002508,5.48387096774,10.140625
1,3204,1.09577698349,5.77777777778,10.2
1,3205,0.942547841371,5.6,13.0
1,3206,1.07984469015,5.34615384615,8.33333333333
1,3207,1.1376764521,4.64705882353,12.0
11,101,1.18858436011,4.33333333333,14.6843065693
11,201,0.364998346805,3.0,8.05
11,202,0.182499173402,6.0,6.25
11,203,0.243332231203,6.33333333333,4.66666666667
11,204,0.308844754989,4.0,7.8
11,205,0.182499173402,6.0,6.25
11,206,0.308844754989,4.0,7.8
11,207,0.364998346805,3.0,8.05
11,208,0.243332231203,6.33333333333,4.66666666667
11,209,0.243332231203,6.33333333333,4.66666666667
11,210,0.182499173402,6.0,6.25
11,301,0.332242084912,3.0,10.75
11,302,0.332242084912,3.0,10.75
11,303,0.168460775448,7.0,4.0
11,304,0.332242084912,3.0,10.75
11,305,0.332242084912,3.0,10.75
11,401,0.280767959081,7.0,11.6875
11,402,0.426767297803,8.0,8.0
11,403,0.379036744759,0.5,5.0
11,404,0.379036744759,0.5,5.0
11,406,0.280767959081,7.0,11.6875
11,407,0.280767959081,7.0,11.6875
11,408,0.280767959081,7.0,11.6875
11,409,0.426767297803,8.0,8.0
11,410,0.426767297803,8.0,8.0
11,502,1.4038397954,8.0,7.2
11,503,1.4038397954,8.0,7.2
11,504,1.4038397954,8.0,7.2
11,505,1.4038397954,8.0,7.2
11,601,0.479124227864,4.40835307537,13.1363636364
11,602,1.35101173317,5.66783216783,6.33333333333
11,603,0.561448056143,5.13212795549,8.0
11,604,0.732336426602,5.33333333333,6.5
11,605,1.35101173317,5.66783216783,6.33333333333
11,606,0.732336426602,5.33333333333,6.5
11,607,0.561448056143,5.13212795549,8.0
11,701,0.94057266292,4.5,6.27272727273
11,702,0.94057266292,4.5,6.27272727273
11,703,0.280767959081,3.0,9.33333333333
11,704,0.280767959081,3.0,9.33333333333
11,705,0.94057266292,4.5,6.27272727273
11,706,0.280767959081,3.0,9.33333333333
