mun,tariff
101,2.65537305408
201,3.47461846823
202,3.27502130821
203,2.49163206162
204,2.43032720347
205,3.60472143991
206,2.87910921547
207,2.55467649662
208,2.49163206162
209,2.49163206162
210,3.60472143991
301,4.03455163202
302,3.10145332025
303,3.71816680349
304,3.10145332025
305,3.10145332025
401,6.32262282074
402,4.52027462179
403,5.08754034216
404,4.97929480296
405,3.89785504975
406,2.44211352182
407,2.44211352182
408,2.44211352182
409,4.33707467842
410,4.33707467842
411,4.01526032233
501,2.81989216108
502,2.48238633867
503,2.54929702165
504,2.58412348369
505,2.58412348369
601,3.20089118046
602,2.95221328053
603,3.08381841722
604,2.71077492411
605,3.00132101627
606,2.89149325238
607,3.09688544441
701,2.73035989228
702,2.85334907663
703,3.79006397408
704,3.79006397408
705,2.85334907663
706,3.79006397408
801,6.54694476708
802,3.10605457141
901,5.04287525887
902,1.76140357208
903,1.15493994391
904,1.78490718605
1001,7.69587291348
1002,5.11349265549
1003,4.04588592929
1004,4.04996728233
1005,4.04996728233
1006,4.04996728233
1101,2.2334573179
1102,2.94652320694
1201,3.28873030445
1202,1.91176597932
1203,0.0
1301,6.51699768005
1302,3.65582639334
1303,2.85500673847
1304,7.38539619298
1401,2.88167541132
1402,2.39869300063
1403,2.58392733617
1404,2.33956903151
1501,6.6714219405
1502,3.75387942102
1503,6.93217557512
1504,4.12345644553
1505,3.37225451774
1506,4.48964772611
1601,7.71358078256
1602,3.32857652846
1701,4.34452015446
1702,2.11350381628
1801,2.54159912153
1802,2.42462041054
1803,3.59435646519
1804,2.11804689452
1805,2.22772678751
1806,1.4046096193
1807,3.44257901856
1808,2.27065023235
1809,1.49641447689
1901,6.83305564781
1902,1.21460993961
1903,3.85603887269
2001,1.72741116794
2002,1.85737741384
2003,1.62101863029
2101,5.05982717538
2102,1.5098727385
2103,2.78606739776
2104,2.27615095997
2105,5.14265824233
2106,1.26588282251
2107,5.49739839518
2108,1.53487063152
2201,3.05793991171
2202,3.58196725395
2203,3.91525207078
2204,3.57055971493
2205,3.3295553197
2206,4.00187269183
2301,6.31490458134
2302,3.33536369342
2303,1.65204323708
2304,2.41120911326
2305,3.60997649017
2306,3.41778618996
2401,6.66726949233
2402,3.20600781305
2403,3.68498704481
2404,2.59641432683
2501,5.25700157367
2502,11.3021143449
2503,1.58734104157
2504,7.33066706707
2505,2.73431253082
2506,2.11117773726
2507,11.0375993324
2508,0.0
2509,1.82783889296
2601,6.14827240218
2602,2.41380893138
2603,3.7551005703
2701,5.63677538736
2702,5.51460205186
2703,4.86716341354
2801,4.97042159114
2802,2.12748453014
2803,1.63131659392
2901,3.40477873742
2902,4.15696310114
2903,2.49376075096
2904,2.46525351668
2905,2.62563839911
3001,6.8414704548
3002,4.51757173032
3003,4.23080410238
3101,4.63221649286
3102,6.69807631861
3103,5.92882781415
3201,3.96387341076
3202,3.61156487913
3203,3.62828608834
3204,5.78998776719
3205,2.23747346656
3206,2.57443664077
3207,2.03836768325
