HS6,1996DFLines,1996AvgRate,1996NumLines,1997DFLines,1997AvgRate,1997NumLines,1998DFLines,1998AvgRate,1998NumLines,1999DFLines,1999AvgRate,1999NumLines,2000DFLines,2000AvgRate,2000NumLines,2001DFLines,2001AvgRate,2001NumLines,2002DFLines,2002AvgRate,2002NumLines,2003DFLines,2003AvgRate,2003NumLines,2004DFLines,2004AvgRate,2004NumLines,2005DFLines,2005AvgRate,2005NumLines,2006DFLines,2006AvgRate,2006NumLines,Base,duty2007,duty2008,duty2009,duty2010,duty2011,duty2012,duty2013,duty2014,duty2015
'020130,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,40.0,1.0,,40.0,1.0,,40.0,2.0,,40.0,2.0,,40.0,2.0,,40.0,2.0,40.0,37.5,35.0,32.5,30.0,27.5,25.0,22.5,20.0,17.5
'020210,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,40.0,1.0,,40.0,1.0,,40.0,1.0,,40.0,1.0,,40.0,1.0,,40.0,1.0,40.0,37.5,35.0,32.5,30.0,27.5,25.0,22.5,20.0,17.5
'020220,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,40.0,1.0,,40.0,1.0,,40.0,2.0,,40.0,2.0,,40.0,2.0,,40.0,2.0,40.0,37.5,35.0,32.5,30.0,27.5,25.0,22.5,20.0,17.5
'020230,,14.0,2.0,,14.0,2.0,,14.0,2.0,,14.0,2.0,,14.0,2.0,,22.5,2.0,,22.5,2.0,,22.5,2.0,,22.5,2.0,,22.5,2.0,,22.5,2.0,22.5,21.09375,19.6875,18.28125,16.875,15.46875,14.0625,12.65625,11.25,9.84375
'020311,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,25.0,1.0,,25.0,1.0,,25.0,1.0,,25.0,1.0,,25.0,1.0,,25.0,1.0,,,,,,,,,,
'020312,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,25.0,1.0,,25.0,1.0,,25.0,1.0,,25.0,1.0,,25.0,1.0,,25.0,1.0,,,,,,,,,,
'020319,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,25.0,1.0,,25.0,1.0,,25.0,1.0,,25.0,1.0,,25.0,1.0,,25.0,1.0,,,,,,,,,,
'020321,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,25.0,1.0,,25.0,1.0,,25.0,1.0,,25.0,1.0,,25.0,1.0,,25.0,1.0,,,,,,,,,,
'020322,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,20.0,1.0,,25.0,1.0,,25.0,1.0,,25.0,1.0,,25.0,1.0,,25.0,1.0,,25.0,1.0,,,,,,,,,,
'020329,,14.0,2.0,,14.0,2.0,,14.0,2.0,,14.0,2.0,,14.0,2.0,,25.0,2.0,,25.0,2.0,,25.0,2.0,,25.0,2.0,,25.0,2.0,,25.0,2.0,,,,,,,,,,
