901,8,2,8,29,17,39,113,49,31,15,23,109,191,81,138,273,226,152,171,32,202,2,345,122,400,79,96,34
902,8,2,8,29,17,39,113,49,31,15,23,109,191,81,138,273,226,152,171,32,202,2,345,122,400,79,96,34
903,6,4,2,6,5,5,49,6,5,3,18,20,58,33,87,105,133,62,32,1,51,0,46,46,160,46,39,12
904,6,4,2,6,5,5,49,6,5,3,18,20,58,33,87,105,133,62,32,1,51,0,46,46,160,46,39,12
1001,61,7,2,2,2,9,35,3,2,11,7,20,22,5,33,11,21,11,5,0,4,7,4,15,84,15,9,4
1002,61,7,2,2,2,9,35,3,2,11,7,20,22,5,33,11,21,11,5,0,4,7,4,15,84,15,9,4
1003,61,7,2,2,2,9,35,3,2,11,7,20,22,5,33,11,21,11,5,0,4,7,4,15,84,15,9,4
1004,61,7,2,2,2,9,35,3,2,11,7,20,22,5,33,11,21,11,5,0,4,7,4,15,84,15,9,4
1005,61,7,2,2,2,9,35,3,2,11,7,20,22,5,33,11,21,11,5,0,4,7,4,15,84,15,9,4
1006,61,7,2,2,2,9,35,3,2,11,7,20,22,5,33,11,21,11,5,0,4,7,4,15,84,15,9,4
1101,10,2,11,42,4,36,62,26,26,11,14,90,134,158,467,250,161,162,68,16,90,2,39,147,375,78,60,31
1102,1,1,3,5,0,0,9,4,5,2,2,7,19,24,73,27,72,27,6,2,11,6,5,24,90,87,18,10
1201,13,4,9,24,53,50,101,82,81,29,20,162,228,106,406,249,138,254,197,11,232,10,617,177,517,127,125,48
1202,13,4,9,24,53,50,101,82,81,29,20,162,228,106,406,249,138,254,197,11,232,10,617,177,517,127,125,48
1203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1301,30,3,7,14,19,158,117,79,57,27,29,90,186,131,156,366,293,206,160,27,337,8,507,178,533,130,179,46
1302,18,2,4,4,3,62,36,12,6,3,2,16,37,36,32,87,146,47,38,8,49,1,57,61,139,148,74,10
1303,5,3,3,6,2,76,50,12,8,4,10,18,48,31,50,86,179,83,47,9,56,3,68,59,186,90,81,28
1304,4,1,1,3,1,35,26,6,5,7,1,12,30,16,30,62,124,32,34,7,52,1,68,42,109,79,62,11
1401,7,0,4,4,1,54,74,9,7,7,7,23,66,59,52,116,100,76,39,4,35,0,9,45,168,50,42,9
1402,5,1,2,3,0,29,61,5,6,3,8,16,38,34,59,73,93,40,21,3,17,1,6,26,150,43,37,9
1403,0,0,1,2,0,23,24,3,2,1,4,7,20,23,18,39,58,22,14,0,12,0,4,22,90,30,27,5
1404,5,1,2,3,0,29,61,5,6,3,8,16,38,34,59,73,93,40,21,3,17,1,6,26,150,43,37,9
1501,5,1,3,4,4,15,38,10,7,10,8,23,40,15,35,41,103,24,17,2,22,4,8,31,116,93,63,3
1502,4,1,2,4,1,19,35,5,9,0,6,19,22,18,28,37,127,18,15,1,24,2,10,36,80,97,77,5
1503,3,1,1,2,2,17,34,4,11,4,4,12,17,18,18,33,96,29,11,0,23,3,14,29,67,99,71,3
1504,3,1,1,2,2,17,34,4,11,4,4,12,17,18,18,33,96,29,11,0,23,3,14,29,67,99,71,3
1505,5,1,3,4,4,15,38,10,7,10,8,23,40,15,35,41,103,24,17,2,22,4,8,31,116,93,63,3
1506,4,1,2,4,1,19,35,5,9,0,6,19,22,18,28,37,127,18,15,1,24,2,10,36,80,97,77,5
1601,7,3,4,0,1,5,12,1,3,1,1,8,17,5,10,12,22,5,16,1,1,0,4,8,47,19,2,0
1602,7,3,4,0,1,5,12,1,3,1,1,8,17,5,10,12,22,5,16,1,1,0,4,8,47,19,2,0
1701,43,6,6,9,9,47,80,29,21,12,10,36,97,58,102,242,96,146,66,7,113,6,173,91,312,61,77,28
1702,17,3,1,2,2,25,19,11,8,4,4,15,42,25,51,88,55,65,27,4,39,4,73,43,163,39,29,9
1801,9,6,7,14,16,30,67,42,35,13,12,75,124,118,341,185,61,106,76,22,83,7,59,93,342,15,72,30
1802,2,1,1,1,0,19,30,5,5,6,10,6,13,10,21,20,42,13,4,1,18,0,22,20,83,16,14,3
1803,2,1,1,1,0,19,30,5,5,6,10,6,13,10,21,20,42,13,4,1,18,0,22,20,83,16,14,3
1804,2,2,1,0,0,8,22,2,5,5,3,5,16,10,34,32,34,17,17,7,13,0,24,27,53,20,26,3
1805,8,3,5,3,1,21,42,4,7,5,4,14,30,18,36,23,81,21,9,0,17,0,3,26,101,15,17,5
1806,8,3,5,3,1,21,42,4,7,5,4,14,30,18,36,23,81,21,9,0,17,0,3,26,101,15,17,5
1807,12,3,2,6,4,8,21,6,5,4,6,26,39,40,142,78,60,74,31,6,24,2,5,44,159,25,48,12
1808,8,3,5,3,1,21,42,4,7,5,4,14,30,18,36,23,81,21,9,0,17,0,3,26,101,15,17,5
1809,12,3,2,6,4,8,21,6,5,4,6,26,39,40,142,78,60,74,31,6,24,2,5,44,159,25,48,12
1901,5,2,4,2,2,27,40,8,3,7,10,16,47,20,29,44,57,27,24,0,23,2,14,27,96,25,27,2
1902,1,0,0,1,1,8,14,2,1,4,2,9,26,9,22,36,33,31,18,1,11,1,6,8,66,15,21,2
1903,4,1,1,3,0,9,18,4,2,5,8,9,26,7,14,19,44,11,11,0,8,1,9,19,55,12,18,2
2001,12,1,1,2,0,22,20,1,7,9,1,9,19,11,53,24,17,21,11,4,6,1,0,18,67,2,19,9
2002,7,0,2,2,1,21,23,5,1,4,7,9,18,14,65,22,35,36,6,0,14,0,1,23,90,7,29,3
2003,7,0,2,2,1,21,23,5,1,4,7,9,18,14,65,22,35,36,6,0,14,0,1,23,90,7,29,3
2101,90,2,9,32,43,69,117,91,77,33,21,108,187,72,162,172,55,138,164,13,102,15,412,150,458,12,165,44
2102,10,3,4,1,0,2,12,1,12,0,0,4,7,3,21,20,8,19,17,3,12,3,8,10,104,5,11,2
2103,23,0,2,9,15,27,44,18,60,5,5,59,90,45,75,77,5,74,122,5,38,2,265,87,249,0,71,22
2104,9,0,0,5,3,4,12,6,5,4,2,4,22,4,15,22,17,6,13,0,9,0,21,12,58,16,25,7
2105,22,2,4,2,3,9,45,13,19,4,3,19,44,19,56,86,54,76,57,2,29,2,167,67,268,23,53,19
2106,11,2,2,2,1,6,14,2,9,1,5,8,24,8,23,18,15,59,63,4,6,0,22,38,132,12,45,15
2107,7,0,0,1,0,4,14,3,5,2,2,7,13,9,13,17,14,18,22,2,12,1,108,27,87,2,36,6
2108,10,3,4,1,0,2,12,1,12,0,0,4,7,3,21,20,8,19,17,3,12,3,8,10,104,5,11,2
2201,45,3,10,7,6,58,97,35,23,19,21,46,87,41,82,100,154,55,78,4,48,6,11,67,251,133,63,15
2202,45,3,10,7,6,58,97,35,23,19,21,46,87,41,82,100,154,55,78,4,48,6,11,67,251,133,63,15
2203,8,2,0,0,1,5,17,3,4,5,2,5,13,2,16,11,37,4,3,0,2,3,0,5,38,26,10,4
2204,45,3,10,7,6,58,97,35,23,19,21,46,87,41,82,100,154,55,78,4,48,6,11,67,251,133,63,15
2205,19,2,0,2,1,23,42,0,2,9,5,5,12,2,22,31,34,9,7,0,4,4,0,9,41,18,12,2
2206,8,2,0,0,1,5,17,3,4,5,2,5,13,2,16,11,37,4,3,0,2,3,0,5,38,26,10,4
2301,27,6,8,25,39,93,109,60,87,23,23,137,187,114,255,242,76,177,154,36,231,4,817,127,516,37,162,50
2302,3,2,1,4,2,2,14,4,4,4,5,13,16,10,28,24,39,42,35,5,28,1,38,40,116,80,38,9
2303,27,6,8,25,39,93,109,60,87,23,23,137,187,114,255,242,76,177,154,36,231,4,817,127,516,37,162,50
2304,9,2,2,1,2,12,23,6,6,2,3,12,27,20,47,31,8,36,31,5,21,5,67,19,97,35,21,4
2305,3,2,1,4,2,2,14,4,4,4,5,13,16,10,28,24,39,42,35,5,28,1,38,40,116,80,38,9
2306,3,2,1,4,2,2,14,4,4,4,5,13,16,10,28,24,39,42,35,5,28,1,38,40,116,80,38,9
2401,12,1,2,5,5,44,92,17,9,13,17,21,52,35,35,74,87,51,36,4,40,0,26,33,144,66,34,8
2402,12,1,2,5,5,44,92,17,9,13,17,21,52,35,35,74,87,51,36,4,40,0,26,33,144,66,34,8
2403,6,1,1,1,1,13,30,5,1,2,1,10,25,10,12,29,29,11,12,0,10,0,5,5,58,20,20,0
2404,5,1,1,2,2,18,14,9,4,5,4,5,14,12,19,33,67,16,16,1,10,1,7,28,71,28,48,3
2501,51,8,51,112,143,220,324,288,234,86,89,516,783,452,488,1168,92,518,625,93,1242,18,1731,462,1352,17,400,113
2502,4,2,2,1,7,5,14,13,18,2,4,18,27,19,37,45,31,28,34,3,98,1,146,48,85,14,48,3
