MUNICIPIO,ISIC,ESTWORKERS
601,'6602,5
601,'6719,5
601,'6720,5
601,'7010,35
601,'7020,145
601,'7220,10
601,'7250,5
601,'7411,25
601,'7412,15
601,'7421,5
601,'7492,135
601,'7499,5
601,'8010,105
601,'8022,5
601,'8030,300
601,'8090,5
601,'8511,595
601,'8531,10
601,'9191,30
601,'9213,5
601,'9220,5
602,'5231,5
603,'5231,5
604,'5050,35
604,'5231,10
604,'6420,5
604,'8511,30
605,'1531,5
605,'5110,5
605,'5231,5
606,'5231,15
701,'5231,10
801,'1513,300
801,'1541,5
801,'1543,30
801,'1711,105
801,'2695,5
801,'5010,30
801,'5030,5
801,'5050,35
801,'5122,5
801,'5139,5
801,'5231,55
801,'5233,35
801,'5234,5
801,'5239,30
801,'5259,5
801,'6304,5
801,'6420,35
801,'7010,35
801,'7020,35
801,'8520,5
802,'6304,5
802,'7421,5
901,'0111,300
901,'0121,95
901,'0122,285
901,'0140,35
901,'1511,30
901,'1533,300
901,'1541,115
901,'1553,300
901,'1554,5
901,'1600,30
901,'1711,175
901,'1723,330
901,'1810,585
901,'1920,65
901,'2221,45
901,'2412,30
901,'2423,60
901,'2424,175
901,'2695,30
901,'2710,35
901,'2811,10
901,'2919,30
901,'3110,30
901,'3140,175
901,'3410,5
901,'3610,35
901,'3691,30
901,'3693,75
901,'3699,5
901,'4100,300
901,'4520,65
901,'5010,430
901,'5020,20
901,'5030,70
901,'5050,30
901,'5110,35
901,'5121,35
901,'5122,35
901,'5131,110
901,'5143,10
901,'5150,65
901,'5190,75
901,'5211,180
901,'5231,155
901,'5232,280
901,'5233,90
901,'5234,70
901,'5239,295
901,'5510,35
901,'5520,40
901,'6021,30
901,'6303,30
901,'6304,10
901,'6420,60
901,'6519,95
901,'6592,105
901,'6599,35
901,'6602,5
901,'6720,5
901,'7010,15
901,'7020,85
901,'7129,30
901,'7220,5
901,'7411,10
901,'7421,5
901,'7430,5
901,'7492,5
901,'8030,75
901,'8511,205
901,'8512,5
901,'8520,80
901,'9120,5
901,'9211,5
901,'9219,75
902,'1514,5
902,'5231,5
902,'6592,5
903,'5010,250
903,'5110,5
903,'5231,15
903,'5239,5
903,'5510,300
904,'5231,5
1001,'1549,175
1001,'5259,5
1001,'6420,5
1002,'0113,75
1002,'5141,5
1003,'1429,30
1003,'5190,5
1101,'0111,35
1101,'0112,40
1101,'0121,50
1101,'0140,60
1101,'1511,5
1101,'1520,5
1101,'1531,30
1101,'1533,5
1101,'1541,10
1101,'1543,5
1101,'1549,35
1101,'1554,60
1101,'1600,5
1101,'1810,5
1101,'1911,75
1101,'2022,10
1101,'2221,50
1101,'2423,5
1101,'2691,5
1101,'2695,5
1101,'2696,75
1101,'2699,5
1101,'2710,60
1101,'2731,5
1101,'2899,5
1101,'2929,30
1101,'2930,75
1101,'3110,5
1101,'3150,5
1101,'3610,455
1101,'4010,60
1101,'4510,30
1101,'4520,275
1101,'4530,15
1101,'5010,245
1101,'5020,45
1101,'5030,105
1101,'5040,5
1101,'5050,65
1101,'5110,45
1101,'5121,10
1101,'5122,180
1101,'5131,30
1101,'5139,35
1101,'5143,125
1101,'5150,30
1101,'5190,105
1101,'5211,280
1101,'5219,155
1101,'5220,135
1101,'5231,240
1101,'5232,250
1101,'5233,265
1101,'5234,95
1101,'5239,105
1101,'5259,10
1101,'5510,2830
1101,'5520,230
1101,'6021,250
1101,'6022,5
1101,'6220,5
1101,'6304,1325
1101,'6309,105
1101,'6420,215
1101,'6519,50
1101,'6592,285
1101,'6599,20
1101,'6602,5
1101,'6711,5
1101,'7010,105
1101,'7020,610
1101,'7111,55
1101,'7129,15
1101,'7220,20
1101,'7250,35
1101,'7310,5
1101,'7411,60
1101,'7412,10
1101,'7414,35
1101,'7421,85
1101,'7430,15
1101,'7492,335
1101,'8010,30
1101,'8030,60
1101,'8090,65
1101,'8511,515
1101,'8531,5
1101,'8532,35
1101,'9213,10
1101,'9214,75
1101,'9219,200
1101,'9220,30
1101,'9241,185
1101,'9249,10
1101,'9301,30
1101,'9302,35
1102,'0113,30
1102,'4010,175
1102,'5010,175
1102,'5231,5
1102,'5232,5
1102,'5234,5
1102,'6303,30
1102,'6592,5
1201,'0112,300
1201,'0113,30
1201,'0140,30
1201,'1320,5
1201,'1531,175
1201,'1541,40
1201,'1542,300
1201,'1543,5
1201,'1554,110
1201,'1600,330
1201,'1711,175
1201,'1722,30
1201,'1729,30
1201,'1730,75
1201,'1810,515
1201,'2022,5
1201,'2029,5
1201,'2221,5
1201,'2222,5
1201,'2424,5
1201,'2429,5
1201,'2519,5
1201,'2520,5
1201,'2610,5
1201,'2710,90
1201,'2811,90
1201,'2899,35
1201,'2922,5
1201,'3210,75
1201,'3230,300
1201,'3511,35
1201,'3610,125
1201,'3699,205
1201,'4010,5
1201,'4030,5
1201,'4100,175
1201,'4520,480
1201,'4530,30
1201,'4540,5
1201,'5010,260
1201,'5020,45
1201,'5030,125
1201,'5040,5
1201,'5050,155
1201,'5110,10
1201,'5122,45
1201,'5131,60
1201,'5141,5
1201,'5143,125
1201,'5149,5
1201,'5150,20
1201,'5190,245
1201,'5211,175
1201,'5219,30
1201,'5220,35
1201,'5231,180
1201,'5232,505
1201,'5233,250
1201,'5234,425
1201,'5239,260
1201,'5240,15
1201,'5260,35
1201,'5510,110
1201,'5520,170
1201,'6021,305
1201,'6022,10
1201,'6110,115
1201,'6120,5
1201,'6302,5
1201,'6303,5
1201,'6304,530
1201,'6309,35
1201,'6420,185
1201,'6519,305
1201,'6592,530
1201,'6599,15
1201,'6602,185
1201,'6711,30
1201,'6719,45
1201,'6720,15
1201,'7010,510
1201,'7020,1350
1201,'7111,5
1201,'7129,10
1201,'7220,5
1201,'7411,125
1201,'7412,10
1201,'7414,70
1201,'7421,45
1201,'7430,50
1201,'7492,675
1201,'7493,205
1201,'7495,5
1201,'7499,5
1201,'8010,185
1201,'8021,85
1201,'8090,35
1201,'8511,555
1201,'8532,5
1201,'9120,30
1201,'9199,30
1201,'9211,10
1201,'9214,15
1201,'9219,80
1201,'9241,5
1201,'9302,5
1201,'9309,5
1301,'0111,60
1301,'0112,410
1301,'0121,35
1301,'0122,155
1301,'0140,170
1301,'1511,605
1301,'1513,30
1301,'1520,35
1301,'1533,175
1301,'1541,65
1301,'1549,70
1301,'1553,360
1301,'1554,220
1301,'1711,30
1301,'1712,330
1301,'1721,5
1301,'1723,380
1301,'1810,2480
1301,'1920,300
1301,'2010,30
1301,'2022,30
1301,'2029,30
1301,'2221,145
1301,'2411,5
1301,'2423,60
1301,'2429,5
1301,'2519,30
1301,'2610,5
1301,'2694,75
1301,'2695,35
1301,'2710,30
1301,'2899,35
1301,'2919,5
1301,'3110,35
1301,'3120,175
1301,'3140,5
1301,'3190,30
1301,'3320,35
1301,'3410,5
1301,'3610,325
1301,'4020,5
1301,'4520,145
1301,'5010,580
1301,'5020,100
1301,'5030,405
1301,'5040,35
1301,'5050,175
1301,'5110,140
1301,'5121,75
1301,'5122,45
1301,'5131,150
1301,'5139,40
1301,'5141,75
1301,'5143,25
1301,'5150,15
1301,'5190,380
1301,'5211,195
1301,'5219,80
1301,'5220,40
1301,'5231,295
1301,'5232,435
1301,'5233,95
1301,'5234,320
1301,'5239,170
1301,'5259,35
1301,'5510,105
1301,'5520,35
1301,'6010,5
1301,'6021,120
1301,'6302,30
1301,'6304,55
1301,'6309,5
1301,'6420,495
1301,'6519,195
1301,'6592,150
1301,'6599,10
1301,'6603,5
1301,'6719,30
1301,'6720,5
1301,'7010,20
1301,'7020,290
1301,'7111,5
1301,'7411,45
1301,'7414,30
1301,'7421,35
1301,'7430,35
1301,'7492,30
1301,'7499,40
1301,'8010,80
1301,'8021,30
1301,'8030,5
1301,'8511,810
1301,'8512,5
1301,'9213,65
1301,'9214,30
1301,'9219,65
1301,'9249,5
1302,'0140,80
1302,'4520,5
1302,'5010,15
1302,'5030,10
1302,'5040,5
1302,'5050,30
1302,'5149,5
1302,'5231,50
1302,'5233,30
1302,'5234,60
1302,'5510,5
1302,'7414,30
1302,'7499,5
1302,'8010,30
1302,'8022,5
1302,'8511,30
1303,'0112,60
1303,'1541,30
1303,'1549,5
1303,'2423,30
1303,'2429,5
1303,'4520,5
1303,'5010,10
1303,'5030,5
1303,'5050,5
1303,'5122,5
1303,'5131,35
1303,'5143,30
1303,'5190,30
1303,'5231,70
1303,'5233,5
1303,'5234,35
1303,'5510,30
1303,'6304,30
1303,'7010,5
1303,'7123,5
1303,'7499,5
1303,'8022,5
1303,'8030,30
1304,'0111,80
1304,'1531,175
1304,'1600,175
1304,'5121,30
1401,'0111,35
1401,'1541,30
1401,'1554,135
1401,'2022,5
1401,'2693,5
1401,'2899,5
1401,'4520,5
1401,'5010,80
1401,'5020,35
1401,'5030,5
1401,'5040,40
1401,'5050,35
1401,'5121,5
1401,'5122,5
1401,'5141,5
1401,'5143,5
1401,'5150,5
1401,'5190,5
1401,'5211,5
1401,'5231,55
1401,'5232,5
1401,'5234,50
1401,'5239,10
1401,'5510,10
1401,'6021,5
1401,'6304,45
1401,'6309,10
1401,'6420,95
1401,'6592,75
1401,'6602,5
1401,'7020,90
1401,'7111,5
1401,'7494,5
1401,'8090,5
1401,'8511,95
1401,'9214,5
1402,'0111,5
1402,'0500,30
1402,'5220,5
1402,'5234,5
1402,'5510,175
1402,'7499,5
1402,'8511,30
1404,'2022,5
1404,'4520,5
1404,'5231,10
1404,'5510,5
1404,'9111,5
1501,'0111,30
1501,'0140,75
1501,'1511,75
1501,'1600,300
1501,'2101,30
1501,'2811,205
1501,'5010,60
1501,'5030,15
1501,'5050,10
1501,'5122,5
1501,'5139,175
1501,'5190,10
1501,'5220,40
1501,'5231,20
1501,'5232,40
1501,'5510,15
1501,'5520,35
1501,'6420,35
1501,'6519,35
1501,'6592,30
1501,'7020,10
1501,'7492,30
1501,'8511,5
1502,'5231,5
1502,'5239,30
1503,'0113,580
1503,'1520,30
1503,'2423,300
1503,'2899,30
1503,'5040,35
1503,'6420,5
1503,'6592,30
1504,'5231,5
1504,'5234,30
1505,'5121,30
1505,'6110,5
1505,'6420,60
1506,'0111,30
1506,'0140,30
1506,'5231,5
1601,'0140,300
1601,'2695,5
1601,'5231,5
1601,'5233,5
1601,'6592,5
1601,'7421,5
1701,'0140,30
1701,'1513,300
1701,'1520,30
1701,'1533,60
1701,'1542,5
1701,'1543,60
1701,'1549,5
1701,'1554,60
1701,'1712,30
1701,'1810,205
1701,'2010,60
1701,'2423,10
1701,'2692,5
1701,'2811,5
1701,'3511,300
1701,'3610,105
1701,'4520,5
1701,'5010,115
1701,'5020,10
1701,'5030,10
1701,'5040,5
1701,'5050,60
1701,'5110,5
1701,'5122,65
1701,'5131,30
1701,'5141,205
1701,'5142,5
1701,'5143,35
1701,'5150,35
1701,'5190,115
1701,'5211,25
1701,'5219,10
