mun,1,2,3,11,12,13,14,21,22,23,24,25,26,31,32,33,34,35,36,37,41,42,43,44,51,52,53,54,61,62,63,71,72,73,74,75,81,82,83,91,92,93,94,95,96,98,10,15,16,17,18,19,20,27,28,29,30,40,45,5,50,55,60,64,65,66,67,70,80,85,90
403,0,0,6,20,0,62,0,6,13,139,0,0,13,34,48,41,6,6,27,0,76,48,20,6,97,153,20,181,384,48,0,83,0,0,0,62,6,0,111,391,419,55,0,0,160,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
404,0,0,10,31,0,93,0,10,20,207,0,0,20,51,72,62,10,10,41,0,114,72,31,10,145,228,31,269,570,72,0,124,0,0,0,93,10,0,165,580,622,82,0,0,238,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0
405,0,0,166,39,0,39,9,9,9,225,48,0,29,29,58,39,39,0,48,0,137,146,19,0,137,332,9,323,890,9,9,293,9,0,48,58,78,0,264,1155,185,166,0,9,156,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
406,0,0,23,2,0,8,4,8,17,38,9,0,4,14,18,13,4,2,4,0,30,32,8,2,36,71,2,54,16,0,0,45,25,3,10,22,26,0,37,133,16,25,0,0,20,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
407,0,0,63,6,1,24,11,23,47,104,25,2,13,40,49,35,12,7,12,0,81,88,22,7,98,195,8,147,45,2,0,123,70,8,29,60,72,0,102,363,45,70,2,0,55,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
408,0,0,55,5,1,21,10,20,41,91,22,2,11,35,43,31,10,6,10,0,72,77,19,6,87,172,7,130,39,2,0,108,61,7,25,53,63,0,90,320,39,61,2,0,48,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
409,0,4,38,4,4,11,2,7,11,83,4,0,9,21,33,21,11,4,21,0,11,23,2,0,23,28,2,87,99,2,0,40,9,0,9,11,23,0,54,142,59,33,0,0,23,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,0,11,89,11,11,27,5,16,27,195,11,0,22,50,78,50,27,11,50,0,27,55,5,0,55,66,5,206,234,5,0,94,22,0,22,27,55,0,128,334,139,78,0,0,55,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
411,0,0,33,7,0,7,1,1,1,44,9,0,5,5,11,7,7,0,9,0,27,29,3,0,27,56,1,64,176,1,1,58,1,0,9,11,15,0,52,229,36,33,0,1,31,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501,32,0,254,32,8,90,41,73,123,270,41,0,41,139,123,139,82,24,41,0,188,459,65,32,1755,943,8,278,467,254,0,164,221,16,73,155,123,0,196,992,164,287,8,0,246,106,0,328,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,41,0,0,0,0,0,0,0
502,4,4,98,28,14,56,9,18,47,207,4,0,18,56,84,70,28,9,37,4,94,202,28,18,146,249,18,221,607,42,0,183,42,4,23,98,131,0,146,735,254,122,0,0,94,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0
503,2,2,50,14,7,28,4,9,24,105,2,0,9,28,43,36,14,4,19,2,48,103,14,9,74,115,9,112,309,21,0,93,21,2,12,50,67,0,74,374,129,62,0,0,48,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504,1,1,35,10,5,20,3,6,16,74,1,0,6,20,30,25,10,3,13,1,33,72,10,6,52,72,6,79,218,15,0,66,15,1,8,35,47,0,52,264,91,44,0,0,33,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505,1,1,37,10,5,21,3,7,17,77,1,0,7,21,31,26,10,3,14,1,35,76,10,7,54,76,7,83,228,15,0,68,15,1,8,37,49,0,54,275,95,45,0,0,35,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601,3062,4,69,51,37,247,181,158,745,1053,247,163,167,316,596,601,237,93,149,0,983,1253,158,74,5342,7421,144,1011,2601,27,191,1603,820,97,1118,932,438,0,1072,4778,685,769,27,51,517,433,0,3169,0,1748,372,0,0,139,139,23,0,139,326,0,2400,652,46,1584,2190,23,46,839,1934,2820,0
