ISIC,2002AvgRate,duty2013
'0111,5.28378378378,1.09416520979
'0112,15.0,2.36528685131
'0113,17.76,1.97319946036
'0121,4.0,0.0
'0122,6.82142857143,0.460633116883
'0200,7.41666666667,0.146923783287
'0500,18.4390243902,0.0
'1010,3.0,0.0
'1020,3.0,0.0
'1030,3.0,0.0
'1110,3.0,0.0
'1200,3.0,0.0
'1310,3.0,0.0
'1320,3.0,0.0
'1410,4.66666666667,0.727272727273
'1421,2.30769230769,0.020979020979
'1422,5.5,1.81818181818
'1429,5.80769230769,0.0646153846154
'1511,23.7905405405,10.0902841792
'1512,15.9015151515,0.530027548209
'1513,19.296875,2.95617613851
'1514,7.71428571429,2.33395176252
'1520,17.2083333333,2.57954545455
'1531,11.6,3.39831002331
'1532,12.7946428125,4.15117694805
'1533,14.0,2.42424242424
'1541,20.0,10.2348484848
'1542,14.1428571429,11.4025974026
'1543,18.5,6.06279137529
'1544,20.0,6.34615384615
'1549,14.8515151515,4.27890796073
'1551,17.6666666667,6.5055037555
'1552,19.1428571429,1.03896103896
'1553,6.66666666667,3.75
'1554,20.0,11.25
'1600,19.0,7.68560606061
'1711,1.17366946779,0.0
'1721,19.073446322,0.0616332819722
'1722,20.0,0.0
'1723,10.1818181818,0.0
'1729,4.41666666667,0.429090909091
'1730,13.0729166562,0.0
'1810,19.7564655172,0.104597701149
'1820,9.375,2.33333333333
'1911,7.46428571429,0.0
'1912,19.0,1.25914438503
'1920,18.6206896552,0.772413793103
'2010,4.0,0.0
'2021,3.6,0.0
'2022,14.0,4.43151515151
'2023,10.3333333333,0.0
'2029,12.5992063333,2.86060606061
'2101,3.2831050137,0.0
'2102,14.0,4.39272727273
'2109,14.6851851818,2.57884631438
'2211,1.5,0.346363636364
'2212,3.0,0.84
'2213,19.2272727273,1.32231404959
'2219,15.8928571429,8.00181818182
'2221,20.0,7.35584415585
'2222,0.0,0.0
'2310,3.0,0.0
'2320,3.32905976923,0.224
'2330,3.0,0.0
'2411,3.1393557395,0.0590890901815
'2412,0.875,0.0
'2413,4.97916666667,1.13525252525
'2421,0.0,0.0
'2422,10.1172222,5.11591111111
'2423,2.32584269663,0.0179775280899
'2424,16.2252252162,4.35446355446
'2429,6.22971698113,0.72322813036
'2430,1.45714285714,0.0
'2511,13.6923076923,0.951048951049
'2519,8.26991868293,1.04951958611
'2520,13.3777540746,2.68419116538
'2610,8.47540983607,0.831395926478
'2691,13.2,4.83490909091
'2692,3.0,0.0
'2693,16.6666666667,6.49696969697
'2694,10.6666666667,3.37131313131
'2695,15.0,5.37062937063
'2696,20.0,7.27272727273
'2699,5.5,0.509090909091
'2710,6.81219512195,1.94032815965
'2720,5.07843137255,0.430754604872
'2811,12.375,3.56363636364
'2812,13.6666666667,6.0298989899
'2813,3.0,0.0
'2893,7.74305555556,0.111447811448
'2899,13.4433060082,2.88880278192
'2911,2.8125,0.0
'2912,3.41666666667,0.060606060606
'2913,4.36111111111,0.282828282828
'2914,4.14583333333,0.0
'2915,3.13513513514,0.0
'2919,5.86257308772,0.609888357257
'2921,0.7,0.0
'2922,3.0,0.0
'2923,3.0,0.0
'2924,2.9,0.0
'2925,1.14285714286,0.0
'2926,1.5612244898,0.103896103896
'2927,19.0,6.63101604278
'2929,2.45689655172,0.12539184953
'2930,18.4117647059,4.38455139632
'3000,2.40540540541,0.0
'3110,3.22727272727,0.0
'3120,4.73684210526,0.0
'3130,10.2222222222,1.77777777778
'3140,11.9285714286,0.08658008658
'3150,14.04166665,2.04363636364
'3190,4.87804878049,0.124168514412
'3210,3.0,0.0
'3220,4.84090909091,0.0
'3230,17.8333333182,0.942148760331
'3311,3.7190476,0.32
'3312,3.0,0.0
'3313,3.0,0.0
'3320,9.66666665455,1.53168044077
'3330,16.0801281923,0.909090909091
'3410,10.1628571333,1.04935064935
'3420,11.125,2.45454545455
'3430,8.11764705882,0.461176470588
'3511,4.35416666667,0.0
'3512,20.0,4.84848484849
'3520,3.0,0.0
'3530,4.86363636364,0.0
'3591,15.125,4.13636363637
'3592,7.72727272727,0.661157024794
'3599,14.0,1.27272727273
'3610,18.2536231739,8.93143610013
'3691,19.1,0.727272727273
'3692,17.9130434783,0.0
'3693,18.1818181818,0.330578512397
'3694,20.0,6.50717703349
'3699,15.7721518987,4.55484464902
'4010,3.0,0.0
'4020,3.0,0.0
'7421,3.0,1.68
'7494,3.0,0.0
'9211,20.0,0.0
'9214,20.0,7.27272727273
'9302,0.0,0.0
