mun,1,2,3,11,12,13,14,21,22,23,24,25,26,31,32,33,34,35,36,37,41,42,43,44,51,52,53,54,61,62,63,71,72,73,74,75,81,82,83,91,92,93,94,95,96,98,MUNTOTAL,share1,share2,share3,share11,share12,share13,share14,share21,share22,share23,share24,share25,share26,share31,share32,share33,share34,share35,share36,share37,share41,share42,share43,share44,share51,share52,share53,share54,share61,share62,share63,share71,share72,share73,share74,share75,share81,share82,share83,share91,share92,share93,share94,share95,share96,share98
210,0,1,0,3,1,1,0,1,1,16,6,0,2,4,4,4,2,1,2,0,8,22,3,3,19,46,3,26,110,8,0,25,6,0,1,19,4,0,22,106,69,20,0,0,12,12,593,0.0,0.00168634064081,0.0,0.00505902192243,0.00168634064081,0.00168634064081,0.0,0.00168634064081,0.00168634064081,0.026981450253,0.0101180438449,0.0,0.00337268128162,0.00674536256324,0.00674536256324,0.00674536256324,0.00337268128162,0.00168634064081,0.00337268128162,0.0,0.0134907251265,0.0370994940978,0.00505902192243,0.00505902192243,0.0320404721754,0.0775716694772,0.00505902192243,0.043844856661,0.185497470489,0.0134907251265,0.0,0.0421585160202,0.0101180438449,0.0,0.00168634064081,0.0320404721754,0.00674536256324,0.0,0.0370994940978,0.178752107926,0.116357504216,0.0337268128162,0.0,0.0,0.0202360876897,0.0202360876897
301,5,0,54,4,2,6,3,8,19,79,5,0,5,9,28,18,10,2,20,0,32,35,5,3,44,74,3,81,96,3,0,52,17,0,6,16,12,0,41,193,51,24,0,1,36,32,1134,0.00440917107584,0.0,0.047619047619,0.00352733686067,0.00176366843034,0.00529100529101,0.0026455026455,0.00705467372134,0.0167548500882,0.0696649029982,0.00440917107584,0.0,0.00440917107584,0.00793650793651,0.0246913580247,0.015873015873,0.00881834215168,0.00176366843034,0.0176366843034,0.0,0.0282186948854,0.0308641975309,0.00440917107584,0.0026455026455,0.0388007054674,0.0652557319224,0.0026455026455,0.0714285714286,0.0846560846561,0.0026455026455,0.0,0.0458553791887,0.0149911816578,0.0,0.00529100529101,0.0141093474427,0.010582010582,0.0,0.0361552028219,0.170194003527,0.0449735449735,0.021164021164,0.0,0.000881834215168,0.031746031746,0.0282186948854
302,5,0,54,4,2,6,3,8,19,79,5,0,5,9,28,18,10,2,20,0,32,35,5,3,44,74,3,81,96,3,0,52,17,0,6,16,12,0,41,193,51,24,0,1,36,32,1134,0.00440917107584,0.0,0.047619047619,0.00352733686067,0.00176366843034,0.00529100529101,0.0026455026455,0.00705467372134,0.0167548500882,0.0696649029982,0.00440917107584,0.0,0.00440917107584,0.00793650793651,0.0246913580247,0.015873015873,0.00881834215168,0.00176366843034,0.0176366843034,0.0,0.0282186948854,0.0308641975309,0.00440917107584,0.0026455026455,0.0388007054674,0.0652557319224,0.0026455026455,0.0714285714286,0.0846560846561,0.0026455026455,0.0,0.0458553791887,0.0149911816578,0.0,0.00529100529101,0.0141093474427,0.010582010582,0.0,0.0361552028219,0.170194003527,0.0449735449735,0.021164021164,0.0,0.000881834215168,0.031746031746,0.0282186948854
303,0,0,13,2,0,2,3,0,1,30,1,1,0,2,14,6,4,1,4,0,14,19,2,5,28,32,0,26,65,0,0,24,9,0,7,1,13,0,21,97,52,11,1,0,13,12,536,0.0,0.0,0.0242537313433,0.00373134328358,0.0,0.00373134328358,0.00559701492537,0.0,0.00186567164179,0.0559701492537,0.00186567164179,0.00186567164179,0.0,0.00373134328358,0.0261194029851,0.0111940298507,0.00746268656716,0.00186567164179,0.00746268656716,0.0,0.0261194029851,0.035447761194,0.00373134328358,0.00932835820896,0.0522388059701,0.0597014925373,0.0,0.0485074626866,0.121268656716,0.0,0.0,0.044776119403,0.0167910447761,0.0,0.0130597014925,0.00186567164179,0.0242537313433,0.0,0.0391791044776,0.180970149254,0.0970149253731,0.0205223880597,0.00186567164179,0.0,0.0242537313433,0.0223880597015
304,5,0,54,4,2,6,3,8,19,79,5,0,5,9,28,18,10,2,20,0,32,35,5,3,44,74,3,81,96,3,0,52,17,0,6,16,12,0,41,193,51,24,0,1,36,32,1134,0.00440917107584,0.0,0.047619047619,0.00352733686067,0.00176366843034,0.00529100529101,0.0026455026455,0.00705467372134,0.0167548500882,0.0696649029982,0.00440917107584,0.0,0.00440917107584,0.00793650793651,0.0246913580247,0.015873015873,0.00881834215168,0.00176366843034,0.0176366843034,0.0,0.0282186948854,0.0308641975309,0.00440917107584,0.0026455026455,0.0388007054674,0.0652557319224,0.0026455026455,0.0714285714286,0.0846560846561,0.0026455026455,0.0,0.0458553791887,0.0149911816578,0.0,0.00529100529101,0.0141093474427,0.010582010582,0.0,0.0361552028219,0.170194003527,0.0449735449735,0.021164021164,0.0,0.000881834215168,0.031746031746,0.0282186948854
305,5,0,54,4,2,6,3,8,19,79,5,0,5,9,28,18,10,2,20,0,32,35,5,3,44,74,3,81,96,3,0,52,17,0,6,16,12,0,41,193,51,24,0,1,36,32,1134,0.00440917107584,0.0,0.047619047619,0.00352733686067,0.00176366843034,0.00529100529101,0.0026455026455,0.00705467372134,0.0167548500882,0.0696649029982,0.00440917107584,0.0,0.00440917107584,0.00793650793651,0.0246913580247,0.015873015873,0.00881834215168,0.00176366843034,0.0176366843034,0.0,0.0282186948854,0.0308641975309,0.00440917107584,0.0026455026455,0.0388007054674,0.0652557319224,0.0026455026455,0.0714285714286,0.0846560846561,0.0026455026455,0.0,0.0458553791887,0.0149911816578,0.0,0.00529100529101,0.0141093474427,0.010582010582,0.0,0.0361552028219,0.170194003527,0.0449735449735,0.021164021164,0.0,0.000881834215168,0.031746031746,0.0282186948854
401,1,0,71,7,2,27,13,26,53,117,29,3,15,45,56,40,14,8,14,0,92,99,25,8,111,220,9,166,51,3,0,139,79,10,33,68,81,0,115,409,51,79,3,0,62,45,2499,0.000400160064026,0.0,0.0284113645458,0.00280112044818,0.000800320128051,0.0108043217287,0.00520208083233,0.0104041616647,0.0212084833934,0.046818727491,0.0116046418567,0.00120048019208,0.00600240096038,0.0180072028812,0.0224089635854,0.016006402561,0.00560224089636,0.0032012805122,0.00560224089636,0.0,0.0368147258904,0.0396158463385,0.0100040016006,0.0032012805122,0.0444177671068,0.0880352140856,0.00360144057623,0.0664265706283,0.0204081632653,0.00120048019208,0.0,0.0556222488996,0.031612645058,0.00400160064026,0.0132052821128,0.0272108843537,0.0324129651861,0.0,0.0460184073629,0.163665466186,0.0204081632653,0.031612645058,0.00120048019208,0.0,0.0248099239696,0.0180072028812
402,0,2,16,2,2,5,1,3,5,35,2,0,4,9,14,9,5,2,9,0,5,10,1,0,10,12,1,37,42,1,0,17,4,0,4,5,10,0,23,60,25,14,0,0,10,3,419,0.0,0.00477326968974,0.0381861575179,0.00477326968974,0.00477326968974,0.0119331742243,0.00238663484487,0.00715990453461,0.0119331742243,0.0835322195704,0.00477326968974,0.0,0.00954653937947,0.0214797136038,0.0334128878282,0.0214797136038,0.0119331742243,0.00477326968974,0.0214797136038,0.0,0.0119331742243,0.0238663484487,0.00238663484487,0.0,0.0238663484487,0.0286396181384,0.00238663484487,0.0883054892601,0.100238663484,0.00238663484487,0.0,0.0405727923628,0.00954653937947,0.0,0.00954653937947,0.0119331742243,0.0238663484487,0.0,0.054892601432,0.143198090692,0.0596658711217,0.0334128878282,0.0,0.0,0.0238663484487,0.00715990453461
403,0,0,1,3,0,9,0,1,2,20,0,0,2,5,7,6,1,1,4,0,11,7,3,1,14,22,3,26,55,7,0,12,0,0,0,9,1,0,16,56,60,8,0,0,23,8,404,0.0,0.0,0.00247524752475,0.00742574257426,0.0,0.0222772277228,0.0,0.00247524752475,0.0049504950495,0.049504950495,0.0,0.0,0.0049504950495,0.0123762376238,0.0173267326733,0.0148514851485,0.00247524752475,0.00247524752475,0.00990099009901,0.0,0.0272277227723,0.0173267326733,0.00742574257426,0.00247524752475,0.0346534653465,0.0544554455446,0.00742574257426,0.0643564356436,0.136138613861,0.0173267326733,0.0,0.029702970297,0.0,0.0,0.0,0.0222772277228,0.00247524752475,0.0,0.039603960396,0.138613861386,0.148514851485,0.019801980198,0.0,0.0,0.0569306930693,0.019801980198
404,0,0,1,3,0,9,0,1,2,20,0,0,2,5,7,6,1,1,4,0,11,7,3,1,14,22,3,26,55,7,0,12,0,0,0,9,1,0,16,56,60,8,0,0,23,8,404,0.0,0.0,0.00247524752475,0.00742574257426,0.0,0.0222772277228,0.0,0.00247524752475,0.0049504950495,0.049504950495,0.0,0.0,0.0049504950495,0.0123762376238,0.0173267326733,0.0148514851485,0.00247524752475,0.00247524752475,0.00990099009901,0.0,0.0272277227723,0.0173267326733,0.00742574257426,0.00247524752475,0.0346534653465,0.0544554455446,0.00742574257426,0.0643564356436,0.136138613861,0.0173267326733,0.0,0.029702970297,0.0,0.0,0.0,0.0222772277228,0.00247524752475,0.0,0.039603960396,0.138613861386,0.148514851485,0.019801980198,0.0,0.0,0.0569306930693,0.019801980198
