PROVINCE,MUNICIPIO,ISIC,SIZE,EMPRESAS,MUNICINUM,PROVNUM
1,101,'2320,10-49,1,3121,3121
1,101,'2320,100-249,1,298,298
1,101,'2320,50-99,2,484,484
1,101,'2411,1-9,11,8021,8021
1,101,'2411,10-49,3,3121,3121
1,101,'2411,250-,1,248,248
1,101,'2411,50-99,1,484,484
1,101,'2413,1-9,9,8021,8021
1,101,'2413,10-49,1,3121,3121
1,101,'2421,1-9,2,8021,8021
1,101,'2421,10-49,1,3121,3121
1,101,'2422,1-9,2,8021,8021
1,101,'2423,1-9,38,8021,8021
1,101,'2423,10-49,20,3121,3121
1,101,'2423,100-249,8,298,298
1,101,'2423,250-,2,248,248
1,101,'2423,50-99,2,484,484
1,101,'2424,1-9,16,8021,8021
1,101,'2424,10-49,9,3121,3121
1,101,'2424,100-249,1,298,298
1,101,'2424,250-,3,248,248
1,101,'2424,50-99,5,484,484
1,101,'2429,1-9,9,8021,8021
1,101,'2429,10-49,9,3121,3121
1,101,'2429,100-249,1,298,298
1,101,'2429,50-99,6,484,484
1,101,'2511,1-9,2,8021,8021
1,101,'2511,10-49,2,3121,3121
1,101,'2519,1-9,4,8021,8021
1,101,'2519,10-49,2,3121,3121
1,101,'2519,250-,1,248,248
1,101,'2520,1-9,8,8021,8021
1,101,'2520,10-49,14,3121,3121
1,101,'2520,100-249,1,298,298
1,101,'2520,250-,5,248,248
1,101,'2520,50-99,1,484,484
1,101,'2610,1-9,7,8021,8021
1,101,'2610,10-49,6,3121,3121
1,101,'2691,1-9,6,8021,8021
1,101,'2691,10-49,5,3121,3121
1,101,'2691,100-249,1,298,298
1,101,'2692,10-49,2,3121,3121
1,101,'2693,1-9,3,8021,8021
1,101,'2693,10-49,1,3121,3121
1,101,'2694,1-9,2,8021,8021
1,101,'2694,10-49,1,3121,3121
1,101,'2694,250-,1,248,248
1,101,'2694,50-99,3,484,484
1,101,'2695,1-9,2,8021,8021
1,101,'2695,10-49,4,3121,3121
1,101,'2695,50-99,1,484,484
1,101,'2696,1-9,1,8021,8021
1,101,'2699,1-9,2,8021,8021
1,101,'2699,10-49,4,3121,3121
1,101,'2699,100-249,1,298,298
1,101,'2699,50-99,1,484,484
1,101,'2710,1-9,20,8021,8021
1,101,'2710,10-49,19,3121,3121
1,101,'2710,100-249,3,298,298
1,101,'2710,250-,2,248,248
1,101,'2710,50-99,4,484,484
1,101,'2720,1-9,1,8021,8021
1,101,'2731,1-9,1,8021,8021
1,101,'2731,10-49,1,3121,3121
1,101,'2811,1-9,25,8021,8021
1,101,'2811,10-49,15,3121,3121
1,101,'2811,100-249,4,298,298
1,101,'2892,1-9,2,8021,8021
1,101,'2892,10-49,2,3121,3121
1,101,'2893,1-9,4,8021,8021
1,101,'2893,10-49,6,3121,3121
1,101,'2893,50-99,1,484,484
1,101,'2899,1-9,19,8021,8021
1,101,'2899,10-49,11,3121,3121
1,101,'2899,100-249,1,298,298
1,101,'2899,50-99,1,484,484
